date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2022-01-01",97.77033,95.89499,98.39462,0.74628,0.00937,8506.0,0,,
"2022-01-02",97.62847,96.83486,98.09466,0.12361,0.00389,8155.0,0,,
"2022-01-03",96.00198,95.61504,96.83486,0.09670,0.00335,8640.0,0,,
"2022-01-04",96.83365,96.02497,97.48476,0.23752,0.00575,7181.0,0,,
"2022-01-05",97.39649,97.13481,97.71472,0.03096,0.00190,8553.0,0,,
"2022-01-06",,,,-0.00000,,0.0,1,,
"2022-01-07",97.85548,97.28479,98.35462,0.11043,0.00620,2873.0,1,,
"2022-01-08",97.02649,96.78486,97.58474,0.04841,0.00237,8640.0,0,,
"2022-01-09",96.97307,96.39492,98.25464,0.28484,0.00574,8640.0,0,,
"2022-01-10",98.27022,97.95468,98.99452,0.09337,0.00329,8640.0,0,,
"2022-01-11",98.61627,98.38462,98.77456,0.00963,0.00106,8640.0,0,,
"2022-01-12",98.36465,98.13465,98.69457,0.02119,0.00157,8640.0,0,,
"2022-01-13",97.74329,97.21480,98.67457,0.17819,0.00454,8640.0,0,,
"2022-01-14",98.40576,97.85470,99.56443,0.26229,0.00551,8640.0,0,,
"2022-01-15",98.63643,98.32463,99.27448,0.04403,0.00226,8640.0,0,,
"2022-01-16",98.34688,98.13465,98.78456,0.03172,0.00192,8640.0,0,,
"2022-01-17",97.79088,97.48476,98.46461,0.05613,0.00264,8083.0,0,,
"2022-01-18",97.72076,97.29479,98.44461,0.12778,0.00385,8630.0,0,,
"2022-01-19",97.90813,97.57474,98.55460,0.10891,0.00355,8640.0,0,,
"2022-01-20",98.35807,98.11466,99.04452,0.08967,0.00322,8640.0,0,,
"2022-01-21",98.48718,97.99468,99.69442,0.28261,0.00572,8640.0,0,,
"2022-01-22",98.84084,98.30463,99.67442,0.11704,0.00368,8640.0,0,,
"2022-01-23",98.69782,98.26464,99.32447,0.09909,0.00339,8640.0,0,,
"2022-01-24",98.29564,97.67473,99.12451,0.16209,0.00433,8640.0,0,,
"2022-01-25",98.26100,97.85470,99.01452,0.15859,0.00428,8640.0,0,,
"2022-01-26",98.38453,98.09466,98.83455,0.04094,0.00218,8640.0,0,,
"2022-01-27",98.59538,98.09466,99.37447,0.17821,0.00454,8640.0,0,,
"2022-01-28",98.97567,98.35462,100.01437,0.27387,0.00563,8632.0,0,,
"2022-01-29",98.63594,97.72472,99.86439,0.45478,0.00726,8640.0,0,,
"2022-01-30",98.48523,97.77471,99.61443,0.28338,0.00573,8640.0,0,,
"2022-01-31",98.05884,97.46476,99.05452,0.19423,0.00474,8640.0,0,,
