date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2018-11-01",97.23425,97.09425,97.43414,0.00762,0.00094,8640.0,0,101.97246,0
"2018-11-02",97.31867,97.04426,97.45413,0.00854,0.00099,8640.0,0,102.05873,0
"2018-11-03",97.10978,96.97428,97.28419,0.00435,0.00071,8640.0,0,101.83383,0
"2018-11-04",96.94681,96.64440,97.06426,0.01044,0.00110,8640.0,0,101.64318,0
"2018-11-05",96.61052,96.42447,96.70438,0.00519,0.00080,8144.0,0,101.30250,0
"2018-11-06",96.63350,96.42447,96.86433,0.01667,0.00142,8306.0,0,101.35068,0
"2018-11-07",96.86192,96.68439,97.03427,0.00762,0.00094,8633.0,0,101.59786,0
"2018-11-08",96.88380,96.75436,97.06426,0.01025,0.00109,8640.0,0,101.65887,0
"2018-11-09",97.24196,97.01427,97.40414,0.01051,0.00113,8260.0,0,102.04893,0
"2018-11-10",96.96940,96.68439,97.15423,0.01747,0.00145,8254.0,0,101.78485,0
"2018-11-11",96.94350,96.66439,97.24420,0.04051,0.00217,8640.0,0,101.78532,0
"2018-11-12",97.60562,97.24420,97.84400,0.02952,0.00185,8640.0,0,102.45579,0
"2018-11-13",98.02052,97.78402,98.20388,0.00943,0.00104,8640.0,0,102.88098,0
"2018-11-14",97.89683,97.57409,98.01394,0.01392,0.00127,8640.0,0,102.74825,0
"2018-11-15",97.42463,97.07426,97.62407,0.02350,0.00165,8640.0,0,102.27293,0
"2018-11-16",96.95630,96.73437,97.08425,0.00793,0.00098,8297.0,0,101.77664,0
"2018-11-17",96.81333,96.71438,96.94430,0.00350,0.00069,7352.0,0,101.62905,0
"2018-11-18",96.96661,96.77435,97.18422,0.01241,0.00126,7773.0,0,101.76241,0
"2018-11-19",96.97318,96.82434,97.07426,0.00413,0.00072,7897.0,0,101.77549,0
"2018-11-20",96.84307,96.72437,96.93430,0.00260,0.00056,8195.0,0,101.63481,0
"2018-11-21",96.92390,96.71438,97.09425,0.01117,0.00117,8134.0,0,101.70968,0
"2018-11-22",97.14320,96.77435,97.49412,0.04930,0.00239,8640.0,0,101.94631,0
"2018-11-23",97.47279,97.21421,97.56409,0.00752,0.00093,8640.0,0,102.30032,0
"2018-11-24",96.97665,96.68439,97.22420,0.02230,0.00164,8270.0,0,101.74948,0
"2018-11-25",96.90896,96.70438,97.08425,0.01161,0.00116,8640.0,0,101.67323,0
"2018-11-26",97.30729,97.04426,97.49412,0.01199,0.00118,8640.0,0,102.11592,0
"2018-11-27",97.17631,96.94430,97.32417,0.01024,0.00109,8640.0,0,101.96636,0
"2018-11-28",96.66987,96.27452,96.95429,0.02919,0.00184,8640.0,0,101.43795,0
"2018-11-29",95.83642,95.44479,96.40447,0.09290,0.00328,8640.0,0,100.58323,0
"2018-11-30",96.29495,95.43480,96.87432,0.21525,0.00499,8640.0,0,101.09273,0
