date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2021-03-01",89.40925,89.33846,89.45848,0.00165,0.00167,593.0,1,100.59489,1
"2021-03-02",89.32296,89.18844,89.62849,0.01591,0.00144,7709.0,0,100.73029,0
"2021-03-03",90.30736,89.62849,90.94864,0.15365,0.00422,8640.0,0,101.81601,0
"2021-03-04",90.79303,90.07854,91.09866,0.09528,0.00332,8640.0,0,101.92077,0
"2021-03-05",89.62698,89.42847,90.09855,0.02664,0.00176,8640.0,0,99.90391,0
"2021-03-06",90.15678,89.71850,90.72861,0.11449,0.00364,8640.0,0,100.59013,0
"2021-03-07",91.10555,90.72861,91.53870,0.07607,0.00297,8640.0,0,101.72317,0
"2021-03-08",91.25895,90.80862,91.56870,0.05491,0.00252,8640.0,0,101.54795,0
"2021-03-09",90.85772,90.59860,91.38869,0.05198,0.00245,8640.0,0,100.90904,0
"2021-03-10",91.06647,90.59860,91.41869,0.07980,0.00304,8640.0,0,101.45568,0
"2021-03-11",91.09648,90.59860,91.52871,0.05420,0.00250,8640.0,0,102.16709,0
"2021-03-12",92.15262,91.52871,92.62883,0.10601,0.00350,8640.0,0,103.46748,0
"2021-03-13",92.43633,91.90875,92.67883,0.05066,0.00242,8640.0,0,103.15429,0
"2021-03-14",91.02498,90.25856,91.89874,0.23246,0.00519,8631.0,0,101.39523,0
"2021-03-15",90.16893,90.09855,90.27857,0.00200,0.00048,8640.0,0,100.59820,0
"2021-03-16",90.21826,90.03853,90.42858,0.01364,0.00126,8640.0,0,100.79881,0
"2021-03-17",90.25793,90.00853,90.44858,0.02218,0.00175,7216.0,0,100.83056,0
"2021-03-18",90.25690,89.95853,90.73862,0.06607,0.00277,8640.0,0,100.98559,0
"2021-03-19",91.02083,90.73862,91.23867,0.01977,0.00155,8212.0,0,101.98803,0
"2021-03-20",91.14828,91.01865,91.25867,0.00723,0.00091,8640.0,0,102.00959,0
"2021-03-21",91.03225,90.97864,91.13866,0.00149,0.00045,7485.0,0,101.58813,0
"2021-03-22",91.20286,91.13866,91.24867,0.00042,0.00022,8640.0,0,101.58042,0
"2021-03-23",91.09502,90.88863,91.20867,0.00577,0.00082,8640.0,0,101.61149,0
"2021-03-24",90.30281,89.99853,90.89863,0.06712,0.00279,8640.0,0,100.74669,0
"2021-03-25",90.29407,90.14855,90.51859,0.00712,0.00091,8640.0,0,100.54667,0
"2021-03-26",90.85395,90.51859,90.99864,0.01878,0.00147,8640.0,0,101.63484,0
"2021-03-27",91.17860,90.96864,91.62872,0.03585,0.00210,8126.0,0,102.23637,0
"2021-03-28",91.83590,91.47870,92.00876,0.01613,0.00137,8631.0,0,102.80474,0
"2021-03-29",90.72228,90.25856,91.49870,0.11751,0.00369,8640.0,0,101.20554,0
"2021-03-30",90.09453,90.01854,90.26856,0.00344,0.00067,7757.0,0,100.24868,0
"2021-03-31",90.06203,89.98853,90.24856,0.00434,0.00077,7256.0,0,100.36663,0
