date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2018-11-01",99.07852,98.59266,99.34273,0.05045,0.00242,8630.0,0,102.22909,0
"2018-11-02",98.20195,97.62257,98.59266,0.07836,0.00301,8640.0,0,101.36479,0
"2018-11-03",97.51661,97.46256,97.62257,0.00205,0.00050,8275.0,0,100.67155,0
"2018-11-04",97.99339,97.50256,98.51265,0.10159,0.00343,8630.0,0,101.20326,0
"2018-11-05",99.16545,98.50265,99.68275,0.13699,0.00398,8640.0,0,102.40950,0
"2018-11-06",99.66329,99.52274,99.75276,0.00526,0.00078,8640.0,0,102.90701,0
"2018-11-07",99.51624,99.18271,99.73276,0.02787,0.00180,8640.0,0,102.71037,0
"2018-11-08",98.95224,98.86268,99.19271,0.00678,0.00089,8640.0,0,102.06540,0
"2018-11-09",99.04780,98.88269,99.30272,0.01137,0.00120,7922.0,0,102.20745,0
"2018-11-10",99.82506,99.33272,100.11279,0.05790,0.00261,8494.0,0,102.90742,0
"2018-11-11",98.99175,98.33264,99.94278,0.24298,0.00530,8640.0,0,102.07719,0
"2018-11-12",98.15694,97.98261,98.35264,0.01821,0.00145,8640.0,0,101.15169,0
"2018-11-13",97.63548,97.39256,98.01261,0.03410,0.00199,8632.0,0,100.66371,0
"2018-11-14",98.19439,97.48256,98.88269,0.17942,0.00456,8640.0,0,101.25673,0
"2018-11-15",99.45755,98.87268,99.77277,0.07405,0.00293,8640.0,0,102.67637,0
"2018-11-16",99.38454,98.85269,99.71276,0.05290,0.00248,8636.0,0,102.62981,0
"2018-11-17",98.12381,97.66258,98.85269,0.13258,0.00392,8640.0,0,101.27006,0
"2018-11-18",97.44993,97.15253,97.66258,0.01113,0.00114,8636.0,0,100.53119,0
"2018-11-19",97.02647,96.83250,97.15253,0.00428,0.00070,8640.0,0,100.01226,0
"2018-11-20",97.08723,96.94251,97.20254,0.00496,0.00077,8319.0,0,100.08733,0
"2018-11-21",97.02524,96.87251,97.23254,0.01076,0.00118,7715.0,0,100.03786,0
"2018-11-22",97.52560,97.23254,97.69258,0.01903,0.00148,8640.0,0,100.59073,0
"2018-11-23",97.66771,97.56257,97.74259,0.00249,0.00055,8254.0,0,100.72637,0
"2018-11-24",97.35979,96.95252,97.56257,0.02867,0.00182,8640.0,0,100.44819,0
"2018-11-25",96.48168,96.19245,96.96252,0.05051,0.00242,8640.0,0,99.55990,0
"2018-11-26",95.53587,95.13236,96.35247,0.14265,0.00406,8640.0,0,98.54286,0
"2018-11-27",95.42937,94.97234,95.86242,0.07604,0.00297,8640.0,0,98.40947,0
"2018-11-28",96.25872,95.86242,96.95252,0.07715,0.00299,8640.0,0,99.33975,0
"2018-11-29",97.72180,96.95252,98.15262,0.10496,0.00349,8640.0,0,100.77845,0
"2018-11-30",98.23037,98.15262,98.30263,0.00130,0.00039,8640.0,0,101.31147,0
