date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2020-12-01",83.39079,83.16428,83.52430,0.00870,0.00100,8640.0,0,101.68129,0
"2020-12-02",83.44954,83.27429,83.63431,0.00831,0.00098,8640.0,0,101.87554,0
"2020-12-03",83.57952,83.34429,83.75431,0.01183,0.00117,8640.0,0,101.86713,0
"2020-12-04",83.67207,83.55430,83.80432,0.00546,0.00080,8640.0,0,101.81819,0
"2020-12-05",83.72100,83.54430,83.86432,0.00657,0.00087,8639.0,0,102.04651,0
"2020-12-06",83.69798,83.52430,83.82432,0.00804,0.00096,8640.0,0,101.90177,0
"2020-12-07",83.62997,83.50430,83.73431,0.00480,0.00075,8640.0,0,101.94874,0
"2020-12-08",83.58693,83.41429,83.69431,0.00509,0.00077,8640.0,0,101.81821,0
"2020-12-09",83.47385,83.30429,83.59431,0.00563,0.00081,8640.0,0,101.75357,0
"2020-12-10",83.46680,83.29428,83.61430,0.00785,0.00095,8640.0,0,101.73254,0
"2020-12-11",83.49448,83.31429,83.69431,0.01106,0.00113,8640.0,0,101.81253,0
"2020-12-12",83.58967,83.42430,83.75431,0.00686,0.00089,8640.0,0,101.92213,0
"2020-12-13",83.55139,83.39430,83.66431,0.00540,0.00079,8640.0,0,101.76108,0
"2020-12-14",83.50472,83.31429,83.62431,0.00634,0.00086,8640.0,0,101.63473,0
"2020-12-15",83.42203,83.29428,83.53430,0.00527,0.00078,8640.0,0,101.63092,0
"2020-12-16",83.41080,83.23428,83.55430,0.00671,0.00088,8640.0,0,101.56538,0
"2020-12-17",83.29573,83.14428,83.44429,0.00635,0.00086,8640.0,0,101.54921,0
"2020-12-18",83.33589,83.12428,83.50430,0.00951,0.00105,8640.0,0,101.50342,0
"2020-12-19",83.46251,83.29428,83.58430,0.00701,0.00090,8640.0,0,101.65558,0
"2020-12-20",83.46514,83.32428,83.57430,0.00588,0.00083,8640.0,0,101.59786,0
"2020-12-21",83.43994,83.29428,83.57430,0.00666,0.00088,8640.0,0,101.58588,0
"2020-12-22",83.40288,83.26428,83.54430,0.00580,0.00082,8640.0,0,101.64868,0
"2020-12-23",83.46657,83.29428,83.63431,0.00743,0.00093,8640.0,0,101.75322,0
"2020-12-24",83.59169,83.37429,83.76431,0.01031,0.00112,8257.0,0,101.95349,0
"2020-12-25",83.66156,83.52430,83.82432,0.00662,0.00088,8640.0,0,102.00587,0
"2020-12-26",83.66069,83.53430,83.77432,0.00460,0.00073,8640.0,0,102.09572,0
"2020-12-27",83.72304,83.51430,83.91433,0.00920,0.00103,8640.0,0,102.15816,0
"2020-12-28",83.66081,83.51430,83.80432,0.00659,0.00087,8640.0,0,102.04113,0
"2020-12-29",83.68250,83.54430,83.84432,0.00657,0.00087,8640.0,0,102.18181,0
"2020-12-30",83.66390,83.43429,83.81432,0.00731,0.00092,8640.0,0,102.18250,0
"2020-12-31",83.64408,83.42430,83.79432,0.01041,0.00110,8640.0,0,101.98722,0
