date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2021-10-01",210.24,-1.88,1013.67,84644.31,0.99,86394.0,0
"2021-10-02",175.27,-1.83,867.04,58740.77,0.82,86400.0,0
"2021-10-03",105.25,-1.69,1025.30,27412.01,0.56,86400.0,0
"2021-10-04",20.49,-0.99,150.26,907.02,0.10,86400.0,0
"2021-10-05",56.67,-1.05,343.74,6916.35,0.28,85251.0,0
"2021-10-06",171.45,-1.30,870.31,69136.65,0.89,86400.0,0
"2021-10-07",184.17,-1.93,901.63,69280.66,0.90,86400.0,0
"2021-10-08",182.19,-1.90,853.54,74907.41,0.93,86400.0,0
"2021-10-09",64.19,-1.69,781.27,9715.55,0.34,86400.0,0
"2021-10-10",63.11,-1.33,335.96,7570.35,0.30,86400.0,0
"2021-10-11",103.61,-1.79,818.54,23551.81,0.52,86400.0,0
"2021-10-12",171.66,-2.03,682.94,56511.56,0.81,86400.0,0
"2021-10-13",169.97,-1.77,666.22,59863.14,0.83,86400.0,0
"2021-10-14",119.21,-1.62,880.48,38388.26,0.67,86400.0,0
"2021-10-15",119.38,-1.67,939.30,40068.22,0.70,82521.0,0
"2021-10-16",112.32,-1.59,882.17,29715.38,0.59,86400.0,0
"2021-10-17",108.47,-1.87,916.85,29986.55,0.59,86400.0,0
"2021-10-18",121.51,-1.79,938.01,39399.31,0.68,85518.0,0
"2021-10-19",170.85,-1.83,659.78,57411.18,0.82,86400.0,0
"2021-10-20",160.45,-1.95,630.30,52776.68,0.78,86400.0,0
"2021-10-21",130.06,-2.80,905.89,41917.62,0.70,86400.0,0
"2021-10-22",104.42,-1.92,843.62,29715.91,0.59,86400.0,0
"2021-10-23",143.98,-1.74,876.36,50873.15,0.77,86400.0,0
"2021-10-24",162.52,-1.80,631.78,54221.94,0.79,86400.0,0
"2021-10-25",16.42,-1.70,110.54,699.91,0.09,86400.0,0
"2021-10-26",17.34,-1.04,167.04,735.18,0.09,86400.0,0
"2021-10-27",35.30,-1.54,353.91,3415.89,0.20,86400.0,0
"2021-10-28",133.29,-1.70,922.32,48607.30,0.77,82044.0,0
"2021-10-29",143.50,-1.79,805.25,50571.24,0.77,86400.0,0
"2021-10-30",28.87,-1.18,549.10,3343.55,0.20,86400.0,0
"2021-10-31",77.94,-1.57,841.23,20524.56,0.49,86400.0,0
