date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2020-08-01",,,,-0.00,,0.0,1
"2020-08-02",,,,-0.00,,0.0,1
"2020-08-03",124.01,13.49,1345.25,26923.63,1.08,23143.0,1
"2020-08-04",233.95,-1.71,1289.10,118414.76,1.17,86400.0,0
"2020-08-05",287.42,-2.74,1266.96,132562.91,1.24,86400.0,0
"2020-08-06",133.99,-3.05,1349.29,52192.28,0.78,86400.0,0
"2020-08-07",223.63,-1.91,1245.53,95018.43,1.05,86400.0,0
"2020-08-08",147.92,-2.20,1334.97,51104.77,0.77,86400.0,0
"2020-08-09",313.72,-2.40,1181.59,135665.47,1.25,86400.0,0
"2020-08-10",282.10,-2.53,1092.03,116663.31,1.16,86400.0,0
"2020-08-11",284.93,-2.32,1243.28,125134.00,1.20,86400.0,0
"2020-08-12",254.86,-4.10,1135.20,109600.94,1.13,86400.0,0
"2020-08-13",130.08,-2.45,1290.30,50658.58,0.77,86400.0,0
"2020-08-14",165.26,-2.91,1238.93,61618.06,0.84,86400.0,0
"2020-08-15",61.43,-2.48,376.21,7775.38,0.30,86400.0,0
"2020-08-16",154.05,-1.42,936.02,37490.21,0.66,86400.0,0
"2020-08-17",273.90,-2.38,1155.63,120366.30,1.18,86400.0,0
"2020-08-18",244.84,-2.66,1180.03,112218.50,1.14,86400.0,0
"2020-08-19",213.76,-3.85,1236.84,99050.04,1.07,86399.0,0
"2020-08-20",296.43,-2.89,1036.15,125869.89,1.21,86400.0,0
"2020-08-21",158.11,-2.01,870.33,39759.15,0.68,86400.0,0
"2020-08-22",173.83,-2.51,1158.52,73039.05,0.92,86400.0,0
"2020-08-23",256.17,-2.53,1057.42,112776.65,1.14,86400.0,0
"2020-08-24",227.47,-2.24,1196.66,95874.66,1.05,86400.0,0
"2020-08-25",213.90,-4.54,1031.16,93892.19,1.04,86400.0,0
"2020-08-26",251.09,-2.50,926.04,99242.42,1.07,86400.0,0
"2020-08-27",212.66,-2.43,1186.04,84438.47,0.99,86400.0,0
"2020-08-28",170.49,-2.32,1189.97,70051.06,0.90,86400.0,0
"2020-08-29",150.70,-1.57,1078.64,63457.61,0.86,86400.0,0
"2020-08-30",267.67,-2.60,1084.81,121059.35,1.18,86400.0,0
"2020-08-31",46.71,-2.73,342.88,4983.34,0.24,86400.0,0
