date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2016-12-01",51.82,-1.88,619.05,7562.28,0.30,86400.0,0
"2016-12-02",166.25,-2.61,650.27,57499.99,0.82,86400.0,0
"2016-12-03",149.69,-2.61,729.42,50636.58,0.77,86400.0,0
"2016-12-04",128.85,-2.08,952.71,40534.58,0.68,86400.0,0
"2016-12-05",109.84,-1.99,989.42,34108.97,0.63,86400.0,0
"2016-12-06",79.19,-2.61,813.84,24040.19,0.53,86241.0,0
"2016-12-07",146.15,-2.28,786.40,50060.37,0.76,86291.0,0
"2016-12-08",160.52,-2.80,655.73,55986.64,0.80,86400.0,0
"2016-12-09",148.14,-2.90,721.20,53472.90,0.79,86400.0,0
"2016-12-10",135.84,-2.69,829.70,47459.67,0.74,86400.0,0
"2016-12-11",115.82,-1.98,944.69,38612.93,0.67,86400.0,0
"2016-12-12",110.17,-1.96,877.78,36883.67,0.65,86400.0,0
"2016-12-13",153.94,-2.16,620.52,51223.27,0.77,86400.0,0
"2016-12-14",103.10,-1.98,925.75,31981.27,0.61,86400.0,0
"2016-12-15",135.59,-2.13,665.15,43887.42,0.72,85318.0,0
"2016-12-16",144.63,-2.80,619.54,48624.22,0.75,86400.0,0
"2016-12-17",131.63,-2.28,865.55,42381.46,0.70,86400.0,0
"2016-12-18",100.19,-2.29,841.46,31074.86,0.60,86400.0,0
"2016-12-19",7.35,-2.01,145.72,498.55,0.10,54722.0,1
"2016-12-20",,,,-0.00,,0.0,1
"2016-12-21",,,,-0.00,,0.0,1
"2016-12-22",,,,-0.00,,0.0,1
"2016-12-23",,,,-0.00,,0.0,1
"2016-12-24",,,,-0.00,,0.0,1
"2016-12-25",,,,-0.00,,0.0,1
"2016-12-26",,,,-0.00,,0.0,1
"2016-12-27",123.55,-1.83,467.87,20222.65,1.15,15276.0,1
"2016-12-28",133.25,-1.69,757.50,48615.70,0.75,86400.0,0
"2016-12-29",116.20,-2.10,852.31,34673.94,0.63,86400.0,0
"2016-12-30",135.98,-1.92,736.41,39282.61,0.67,86400.0,0
"2016-12-31",148.33,-1.78,937.29,50084.86,0.77,85565.0,0
