date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2020-05-01",310.28,-2.94,1197.64,159325.07,1.36,86400.0,0
"2020-05-02",309.78,-2.54,1325.41,161062.91,1.37,86400.0,0
"2020-05-03",306.82,-2.51,1094.73,158620.10,1.35,86400.0,0
"2020-05-04",286.96,-2.08,1260.68,149040.67,1.31,86400.0,0
"2020-05-05",315.76,-1.67,1163.74,155774.23,1.34,86400.0,0
"2020-05-06",255.86,-1.70,1310.88,116579.74,1.16,86400.0,0
"2020-05-07",272.78,-1.62,1261.88,132131.84,1.24,86400.0,0
"2020-05-08",306.63,-1.85,1038.42,145803.02,1.30,86400.0,0
"2020-05-09",294.33,-1.83,1045.24,143160.19,1.29,86400.0,0
"2020-05-10",324.61,-1.83,1040.77,156478.86,1.35,86400.0,0
"2020-05-11",215.00,-2.72,1401.29,82249.85,0.98,85979.0,0
"2020-05-12",309.84,-1.89,1253.83,151212.10,1.32,86400.0,0
"2020-05-13",279.19,-1.70,1321.81,148500.34,1.31,86400.0,0
"2020-05-14",286.54,-1.85,1491.52,135747.98,1.25,86399.0,0
"2020-05-15",325.13,-1.99,1137.65,160445.98,1.36,86400.0,0
"2020-05-16",302.75,-1.93,1256.09,155815.10,1.34,86400.0,0
"2020-05-17",263.15,-1.81,1299.86,135409.28,1.25,86400.0,0
"2020-05-18",294.67,-1.75,1288.79,154043.34,1.34,86400.0,0
"2020-05-19",318.34,-1.85,1196.17,154765.67,1.34,86400.0,0
"2020-05-20",304.20,-2.42,1288.66,143874.41,1.29,86400.0,0
"2020-05-21",291.90,-2.34,1238.71,141286.83,1.28,86400.0,0
"2020-05-22",305.51,-1.66,1091.72,152336.29,1.33,86398.0,0
"2020-05-23",247.14,-1.80,1343.76,119843.92,1.18,86400.0,0
"2020-05-24",298.33,-1.86,1101.15,146557.30,1.30,86400.0,0
"2020-05-25",283.09,-1.93,1245.10,141164.08,1.28,86400.0,0
"2020-05-26",233.65,-3.19,1407.82,99698.02,1.08,85855.0,0
"2020-05-27",287.26,-2.48,1152.15,155839.11,1.34,86400.0,0
"2020-05-28",172.05,-2.04,1162.56,58752.84,0.83,85490.0,0
"2020-05-29",231.42,-1.81,1271.70,98675.03,1.07,86097.0,0
"2020-05-30",288.57,-2.00,1298.42,136281.26,1.26,86400.0,0
"2020-05-31",259.06,-2.02,1090.80,129512.75,1.22,86400.0,0
