date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2018-12-01",14.18,-1.34,78.78,568.03,0.08,86400.0,0
"2018-12-02",25.97,-0.81,218.21,1955.28,0.15,86400.0,0
"2018-12-03",21.52,-1.23,120.89,1321.17,0.12,86400.0,0
"2018-12-04",36.39,-1.29,293.76,3713.97,0.21,86079.0,0
"2018-12-05",14.23,-1.11,106.98,737.72,0.09,86400.0,0
"2018-12-06",24.05,-1.26,224.71,1642.00,0.14,86400.0,0
"2018-12-07",43.53,-1.79,247.44,5555.29,0.25,86400.0,0
"2018-12-08",80.73,-1.61,362.12,16682.18,0.44,86400.0,0
"2018-12-09",74.61,-1.64,356.05,15096.49,0.42,86400.0,0
"2018-12-10",60.77,-1.61,439.88,10765.41,0.35,86400.0,0
"2018-12-11",26.47,-1.44,170.03,2217.55,0.16,86400.0,0
"2018-12-12",12.30,-1.26,90.00,476.20,0.07,86400.0,0
"2018-12-13",26.64,-0.91,345.56,2641.49,0.17,86400.0,0
"2018-12-14",72.09,-1.64,344.80,14128.67,0.40,86400.0,0
"2018-12-15",72.84,-2.20,363.19,14165.82,0.40,86400.0,0
"2018-12-16",74.53,-2.17,348.71,14991.98,0.42,86400.0,0
"2018-12-17",71.88,-1.79,451.80,15497.97,0.42,86393.0,0
"2018-12-18",51.04,-1.56,460.35,7858.14,0.30,86400.0,0
"2018-12-19",25.51,-1.54,339.06,2783.90,0.18,86399.0,0
"2018-12-20",16.37,-1.33,133.03,1048.37,0.11,86400.0,0
"2018-12-21",13.60,-1.19,116.98,566.43,0.08,86400.0,0
"2018-12-22",20.80,-1.34,191.81,1388.12,0.13,86400.0,0
"2018-12-23",12.77,-1.29,76.01,482.38,0.07,86400.0,0
"2018-12-24",24.68,-1.34,141.36,1805.03,0.14,86400.0,0
"2018-12-25",28.32,-1.44,155.45,2197.29,0.16,86400.0,0
"2018-12-26",23.69,-1.13,188.91,1698.75,0.14,86400.0,0
"2018-12-27",8.06,-1.31,62.92,205.21,0.05,86400.0,0
"2018-12-28",24.03,-1.08,160.19,1749.75,0.14,86400.0,0
"2018-12-29",69.45,-1.64,493.31,15186.45,0.42,86400.0,0
"2018-12-30",39.19,-1.52,366.31,4585.52,0.23,86400.0,0
"2018-12-31",10.15,-1.08,72.44,343.08,0.06,86400.0,0
