date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2021-03-01",207.61,-1.88,758.52,77578.57,0.95,86400.0,0
"2021-03-02",217.58,-2.05,764.93,82763.11,0.98,86400.0,0
"2021-03-03",219.43,-2.16,770.19,84259.21,0.99,86400.0,0
"2021-03-04",209.94,-2.29,763.09,82069.75,0.97,86400.0,0
"2021-03-05",170.41,-1.76,818.34,59792.99,0.83,86400.0,0
"2021-03-06",211.72,-2.09,764.20,79429.33,0.96,86400.0,0
"2021-03-07",219.41,-1.99,789.83,84337.38,0.99,86400.0,0
"2021-03-08",185.08,-2.05,957.31,68986.30,0.89,86400.0,0
"2021-03-09",200.11,-1.94,816.30,74377.68,0.93,86400.0,0
"2021-03-10",193.45,-1.88,956.14,74966.61,0.93,86400.0,0
"2021-03-11",234.85,-2.12,805.52,93357.41,1.04,86400.0,0
"2021-03-12",28.92,-2.09,313.74,2317.98,0.16,85646.0,0
"2021-03-13",32.44,-1.14,210.22,2549.54,0.17,86400.0,0
"2021-03-14",21.23,-1.13,208.79,1114.73,0.11,86400.0,0
"2021-03-15",111.46,-1.16,1135.01,41370.17,0.69,86400.0,0
"2021-03-16",145.56,-1.73,1244.68,52799.53,0.78,86400.0,0
"2021-03-17",14.71,-1.69,87.83,390.05,0.07,86400.0,0
"2021-03-18",209.42,-1.57,1172.48,87790.79,1.02,84255.0,0
"2021-03-19",258.68,-1.93,862.41,107816.30,1.12,86400.0,0
"2021-03-20",253.09,-2.23,890.08,102628.19,1.09,86400.0,0
"2021-03-21",218.58,-1.99,863.44,91561.32,1.03,86400.0,0
"2021-03-22",34.43,-1.75,346.83,2645.89,0.17,86400.0,0
"2021-03-23",72.43,-1.57,682.43,11573.24,0.37,86400.0,0
"2021-03-24",70.70,-1.29,401.38,8673.57,0.32,86400.0,0
"2021-03-25",50.83,-1.50,369.05,6856.97,0.28,86400.0,0
"2021-03-26",154.88,-1.90,892.70,57222.46,0.81,86400.0,0
"2021-03-27",113.62,-1.69,1092.32,28847.43,0.58,86400.0,0
"2021-03-28",269.61,-2.11,892.25,112352.90,1.14,86400.0,0
"2021-03-29",271.35,-1.97,874.93,112054.14,1.14,86400.0,0
"2021-03-30",232.93,-2.20,1204.29,91872.59,1.03,86400.0,0
"2021-03-31",256.30,-2.20,1001.13,113291.61,1.15,86400.0,0
