date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2020-04-01",106.33,-1.85,851.29,22311.52,0.51,86400.0,0
"2020-04-02",271.89,-2.16,1075.26,110900.71,1.13,86400.0,0
"2020-04-03",277.45,-2.18,1240.02,124334.35,1.20,86400.0,0
"2020-04-04",242.72,-2.13,1014.11,111512.46,1.14,86399.0,0
"2020-04-05",268.84,-2.58,943.52,122813.43,1.19,86400.0,0
"2020-04-06",235.87,-2.27,1166.62,95374.83,1.06,85282.0,0
"2020-04-07",208.71,-2.51,1149.89,89188.69,1.02,86398.0,0
"2020-04-08",196.65,-1.68,1227.38,91385.91,1.03,86400.0,0
"2020-04-09",293.02,-1.88,1018.78,134046.53,1.25,86400.0,0
"2020-04-10",315.24,-2.05,981.70,142019.91,1.28,86400.0,0
"2020-04-11",289.85,-2.52,1074.39,124240.54,1.20,86400.0,0
"2020-04-12",41.10,-2.43,429.85,4898.43,0.24,86400.0,0
"2020-04-13",168.62,-2.12,1379.50,56373.46,0.81,86400.0,0
"2020-04-14",290.59,-1.84,1195.10,137689.16,1.26,86400.0,0
"2020-04-15",324.44,-1.79,1001.72,147701.90,1.31,86400.0,0
"2020-04-16",314.94,-2.24,975.53,139695.35,1.27,86400.0,0
"2020-04-17",299.86,-2.78,992.70,130115.15,1.23,86400.0,0
"2020-04-18",297.35,-3.45,1168.07,143327.19,1.29,86228.0,0
"2020-04-19",166.82,-2.07,1427.16,69473.56,0.90,86400.0,0
"2020-04-20",297.87,-2.09,1182.14,136191.75,1.26,86400.0,0
"2020-04-21",249.93,-2.19,1250.22,115459.72,1.16,86400.0,0
"2020-04-22",253.89,-2.61,1062.37,99004.48,1.07,86400.0,0
"2020-04-23",54.91,-2.77,1403.40,10562.74,0.35,86400.0,0
"2020-04-24",207.03,-1.74,1451.62,79504.29,0.96,86400.0,0
"2020-04-25",94.26,-2.26,1285.73,23614.22,0.52,86399.0,0
"2020-04-26",57.30,-1.92,438.06,5573.51,0.25,86400.0,0
"2020-04-27",331.64,-2.37,1120.35,147402.28,1.31,86400.0,0
"2020-04-28",248.08,-2.54,1376.34,119725.13,1.18,86400.0,0
"2020-04-29",108.62,-2.30,1091.11,44342.77,0.72,86400.0,0
"2020-04-30",119.06,-1.54,1109.16,33026.58,0.62,86400.0,0
