date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2020-12-01",164.95,-2.47,648.69,56820.43,0.81,86400.0,0
"2020-12-02",165.13,-2.67,650.95,57592.91,0.82,86400.0,0
"2020-12-03",84.15,-2.57,795.14,22555.30,0.51,86400.0,0
"2020-12-04",25.91,-2.27,513.37,2575.25,0.17,86400.0,0
"2020-12-05",149.95,-2.40,614.63,49963.37,0.76,86400.0,0
"2020-12-06",54.58,-2.25,464.98,9128.08,0.33,86400.0,0
"2020-12-07",121.78,-2.22,784.11,41430.75,0.69,86400.0,0
"2020-12-08",150.53,-2.44,597.09,47877.26,0.75,85389.0,0
"2020-12-09",151.99,-2.54,600.94,49189.31,0.75,86400.0,0
"2020-12-10",148.68,-2.70,593.00,47256.26,0.74,86400.0,0
"2020-12-11",116.32,-2.89,640.87,31428.45,0.60,86400.0,0
"2020-12-12",23.01,-2.32,251.91,1479.16,0.13,86400.0,0
"2020-12-13",104.70,-2.55,819.06,27863.20,0.57,86400.0,0
"2020-12-14",35.42,-1.58,224.30,2958.11,0.19,86400.0,0
"2020-12-15",103.40,-2.20,803.42,30364.83,0.59,86400.0,0
"2020-12-16",25.98,-2.25,357.06,2217.43,0.16,86393.0,0
"2020-12-17",79.97,-2.24,743.57,27092.03,0.59,76989.0,0
"2020-12-18",58.91,-2.27,539.11,19428.14,0.58,58619.0,1
"2020-12-19",295.39,-1.22,707.63,58655.36,1.48,26856.0,1
"2020-12-20",55.52,-3.21,803.78,8818.20,0.32,86400.0,0
"2020-12-21",120.91,-2.86,777.70,41066.14,0.69,86399.0,0
"2020-12-22",148.66,-3.06,596.74,47656.33,0.74,86400.0,0
"2020-12-23",100.09,-3.03,820.54,32533.14,0.61,86400.0,0
"2020-12-24",57.49,-2.28,603.22,12048.95,0.37,86400.0,0
"2020-12-25",154.59,-2.17,615.71,50881.50,0.77,86400.0,0
"2020-12-26",151.39,-2.04,603.44,48809.95,0.75,86400.0,0
"2020-12-27",152.14,-2.18,607.63,49337.23,0.76,86400.0,0
"2020-12-28",55.42,-2.25,631.92,8401.89,0.31,86400.0,0
"2020-12-29",114.77,-2.62,709.67,34724.43,0.63,86399.0,0
"2020-12-30",138.86,-2.66,590.37,45190.03,0.72,86400.0,0
"2020-12-31",46.89,-2.55,432.40,5778.83,0.26,86400.0,0
