date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2017-09-01",163.38,-1.75,916.04,48272.75,0.75,86400.0,0
"2017-09-02",233.05,-2.03,773.15,80376.91,0.96,86400.0,0
"2017-09-03",216.44,-2.41,712.41,68895.98,0.89,86400.0,0
"2017-09-04",224.22,-2.15,1057.22,80925.19,0.97,86400.0,0
"2017-09-05",164.55,-1.94,1009.11,49781.24,0.76,86399.0,0
"2017-09-06",208.54,-1.87,1187.08,81367.78,1.00,81301.0,0
"2017-09-07",245.02,-2.17,776.15,85528.73,0.99,86400.0,0
"2017-09-08",248.82,-2.11,781.71,88553.49,1.01,86400.0,0
"2017-09-09",226.15,-1.85,725.01,75367.49,0.93,86400.0,0
"2017-09-10",207.12,-1.78,718.15,68439.75,0.89,86400.0,0
"2017-09-11",211.17,-1.94,767.13,68361.14,0.89,86400.0,0
"2017-09-12",216.68,-2.10,711.56,71815.04,0.91,86400.0,0
"2017-09-13",116.86,-2.94,519.53,26871.50,0.58,80815.0,0
"2017-09-14",123.45,-2.10,828.12,30896.41,0.60,86400.0,0
"2017-09-15",21.15,-1.59,308.69,1166.97,0.12,86400.0,0
"2017-09-16",89.69,-1.06,1071.14,16396.42,0.44,86400.0,0
"2017-09-17",214.80,-1.73,780.93,75603.88,0.94,86400.0,0
"2017-09-18",201.34,-2.10,791.20,70063.47,0.91,84447.0,0
"2017-09-19",34.78,-2.36,376.27,2847.50,0.18,86400.0,0
"2017-09-20",215.15,-1.82,747.79,73270.84,0.92,86392.0,0
"2017-09-21",184.70,-2.08,773.65,66998.67,0.88,86396.0,0
"2017-09-22",33.10,-1.61,220.97,2302.18,0.16,86400.0,0
"2017-09-23",122.16,-1.05,1041.64,39098.58,0.67,86400.0,0
"2017-09-24",35.26,-1.87,308.73,2923.10,0.18,86400.0,0
"2017-09-25",46.10,-1.69,232.33,4011.03,0.22,86400.0,0
"2017-09-26",122.66,-1.66,1124.91,31458.02,0.60,86400.0,0
"2017-09-27",182.98,-2.17,665.99,61528.84,0.84,86400.0,0
"2017-09-28",128.90,-2.66,1007.47,38039.60,0.66,86394.0,0
"2017-09-29",194.85,-1.96,676.38,63929.86,0.86,86400.0,0
"2017-09-30",97.63,-1.92,896.46,27770.62,0.57,86400.0,0
