date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2019-03-01",178.57,-2.34,965.82,71848.99,0.91,86400.0,0
"2019-03-02",140.16,-1.36,745.83,40282.69,0.68,86400.0,0
"2019-03-03",192.62,-0.99,1025.38,70512.97,0.90,86400.0,0
"2019-03-04",236.76,-1.76,830.16,96400.54,1.06,86400.0,0
"2019-03-05",230.08,-2.60,858.17,97045.24,1.06,86400.0,0
"2019-03-06",146.68,-1.76,1049.91,48581.93,0.75,86400.0,0
"2019-03-07",144.55,-1.47,821.73,44529.79,0.73,83328.0,0
"2019-03-08",133.30,-2.67,777.19,38254.07,0.67,86400.0,0
"2019-03-09",233.46,-2.10,810.57,94732.78,1.05,86400.0,0
"2019-03-10",185.38,-2.20,1103.12,70515.83,0.90,86400.0,0
"2019-03-11",162.24,-2.01,911.07,59888.77,0.83,86400.0,0
"2019-03-12",176.07,-2.44,1028.94,57882.87,0.82,86400.0,0
"2019-03-13",56.91,-1.75,452.95,7103.54,0.29,86400.0,0
"2019-03-14",215.50,-1.12,949.59,85945.32,1.00,86400.0,0
"2019-03-15",248.42,-2.21,837.73,101960.51,1.09,86400.0,0
"2019-03-16",245.66,-2.40,867.72,98188.94,1.07,86400.0,0
"2019-03-17",251.54,-2.46,839.37,101739.43,1.09,86400.0,0
"2019-03-18",226.60,-2.15,857.31,89562.95,1.02,86400.0,0
"2019-03-19",238.52,-2.06,1108.38,102255.08,1.09,86400.0,0
"2019-03-20",255.58,-2.35,837.04,102118.74,1.09,86400.0,0
"2019-03-21",219.80,-2.46,949.71,82799.79,0.98,86400.0,0
"2019-03-22",119.69,-2.20,1121.02,44881.12,0.72,86400.0,0
"2019-03-23",28.00,-1.52,111.77,1252.84,0.12,86400.0,0
"2019-03-24",197.87,-2.30,1032.99,86984.56,1.00,86400.0,0
"2019-03-25",264.98,-1.90,971.28,115329.95,1.16,86400.0,0
"2019-03-26",227.09,-2.81,996.93,85031.64,0.99,86400.0,0
"2019-03-27",226.59,-2.75,941.28,93926.96,1.04,86400.0,0
"2019-03-28",233.27,-2.47,944.09,97723.70,1.06,86400.0,0
"2019-03-29",43.75,-1.29,307.71,4106.56,0.22,86400.0,0
"2019-03-30",137.61,-1.55,1066.45,34205.34,0.63,86400.0,0
"2019-03-31",276.30,-2.35,1036.37,120953.60,1.18,86400.0,0
