date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2019-04-01",254.84,-2.11,1128.17,117665.58,1.17,86400.0,0
"2019-04-02",292.30,-1.93,1038.11,128182.49,1.22,86400.0,0
"2019-04-03",129.50,-1.59,1276.52,29127.37,0.58,86400.0,0
"2019-04-04",228.78,-1.27,1170.06,117418.15,1.17,86400.0,0
"2019-04-05",284.31,-1.52,977.55,127928.98,1.22,86400.0,0
"2019-04-06",143.90,-1.38,1070.13,60568.90,0.84,86400.0,0
"2019-04-07",68.80,-1.44,388.81,7917.62,0.30,86400.0,0
"2019-04-08",291.16,-1.38,981.64,129046.88,1.23,85517.0,0
"2019-04-09",298.47,-1.87,955.09,131131.26,1.23,86400.0,0
"2019-04-10",270.24,-1.71,1189.05,117093.35,1.16,86400.0,0
"2019-04-11",274.68,-1.77,1154.83,128763.75,1.23,84820.0,0
"2019-04-12",276.60,-1.65,1222.11,123929.15,1.20,86400.0,0
"2019-04-13",40.90,-2.80,1146.98,9759.16,0.34,86400.0,0
"2019-04-14",310.83,-1.81,1012.94,149743.19,1.32,86400.0,0
"2019-04-15",307.36,-1.65,1046.06,136934.15,1.26,86400.0,0
"2019-04-16",202.50,-1.61,1004.39,70907.91,0.91,86400.0,0
"2019-04-17",182.37,-1.27,1344.50,78169.97,0.95,86400.0,0
"2019-04-18",243.39,-2.02,1017.04,124222.85,1.20,86400.0,0
"2019-04-19",322.16,-2.99,1243.15,153782.53,1.33,86400.0,0
"2019-04-20",321.37,-1.97,998.66,144829.43,1.29,86400.0,0
"2019-04-21",301.71,-1.59,1083.96,139915.73,1.27,86400.0,0
"2019-04-22",156.21,-1.48,831.28,40640.39,0.69,86400.0,0
"2019-04-23",110.28,-1.15,1291.10,32437.54,0.61,86400.0,0
"2019-04-24",86.43,-1.09,1536.00,37228.00,0.66,86400.0,0
"2019-04-25",303.77,-1.24,1003.62,141249.65,1.29,84289.0,0
"2019-04-26",328.25,-1.64,1156.23,148076.14,1.31,86399.0,0
"2019-04-27",235.72,-1.59,1359.26,104155.85,1.10,86400.0,0
"2019-04-28",290.13,-2.61,1295.61,137441.55,1.26,86400.0,0
"2019-04-29",170.13,-1.50,1387.27,51796.60,0.77,86400.0,0
"2019-04-30",69.23,-1.21,729.57,9149.36,0.34,78292.0,0
