date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2019-02-01",131.53,-1.58,632.68,40266.20,0.68,86400.0,0
"2019-02-02",56.34,-1.79,506.11,8542.89,0.31,86400.0,0
"2019-02-03",69.72,-1.32,721.14,15727.67,0.43,86400.0,0
"2019-02-04",74.96,-1.23,664.48,14493.82,0.41,86400.0,0
"2019-02-05",64.68,-1.52,807.81,16094.22,0.43,86395.0,0
"2019-02-06",126.80,-1.20,635.34,41872.26,0.70,84900.0,0
"2019-02-07",147.06,-1.54,585.11,45850.63,0.73,86400.0,0
"2019-02-08",101.82,-1.55,426.90,21588.35,0.50,86400.0,0
"2019-02-09",110.66,-1.70,845.03,31337.55,0.60,86395.0,0
"2019-02-10",138.35,-1.16,980.99,50061.00,0.76,86391.0,0
"2019-02-11",107.21,-1.58,695.79,25943.11,0.55,85642.0,0
"2019-02-12",102.28,-1.39,758.92,27024.19,0.56,85495.0,0
"2019-02-13",47.42,-1.26,208.84,4604.78,0.23,86400.0,0
"2019-02-14",75.48,-1.77,585.27,12527.97,0.38,86395.0,0
"2019-02-15",92.02,-1.98,969.49,22583.45,0.51,86397.0,0
"2019-02-16",107.54,-1.77,792.53,25834.48,0.55,86400.0,0
"2019-02-17",145.95,-1.45,906.30,47864.95,0.74,86400.0,0
"2019-02-18",137.73,-1.47,798.84,46785.13,0.74,84308.0,0
"2019-02-19",168.62,-1.52,897.11,63597.33,0.86,86396.0,0
"2019-02-20",106.34,-1.35,487.88,22952.73,0.52,84554.0,0
"2019-02-21",160.77,-1.54,621.37,52643.21,0.78,86400.0,0
"2019-02-22",183.93,-2.31,680.15,64857.77,0.87,86400.0,0
"2019-02-23",128.02,-1.89,1020.35,36802.40,0.65,86397.0,0
"2019-02-24",83.91,-1.52,415.10,14374.50,0.41,86400.0,0
"2019-02-25",75.03,-0.91,316.96,11412.74,0.36,86400.0,0
"2019-02-26",102.28,-1.49,826.69,21755.47,0.50,86400.0,0
"2019-02-27",83.26,-1.38,496.24,13896.71,0.40,86387.0,0
"2019-02-28",126.79,-1.57,816.57,34816.77,0.63,86400.0,0
