date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2018-06-01",354.79,-2.43,1089.43,178824.36,1.44,86400.0,0
"2018-06-02",380.31,-2.06,1104.71,182974.01,1.46,86400.0,0
"2018-06-03",198.86,-2.13,1196.26,70234.49,0.90,86400.0,0
"2018-06-04",343.43,-1.94,1258.91,181035.14,1.45,86400.0,0
"2018-06-05",297.53,-2.23,1334.09,122101.36,1.19,86393.0,0
"2018-06-06",262.27,-2.20,1257.80,135778.84,1.25,86400.0,0
"2018-06-07",300.36,-2.23,1324.18,150320.64,1.35,82762.0,0
"2018-06-08",290.46,-2.47,1386.22,114991.52,1.15,86400.0,0
"2018-06-09",352.88,-2.26,1081.15,170071.02,1.40,86400.0,0
"2018-06-10",355.26,-2.38,1173.48,161899.18,1.37,86400.0,0
"2018-06-11",390.03,-2.28,1093.65,174887.57,1.42,86400.0,0
"2018-06-12",340.98,-2.33,1053.85,154065.47,1.34,86400.0,0
"2018-06-13",356.75,-2.18,1219.25,163683.47,1.38,86400.0,0
"2018-06-14",309.62,-2.35,1395.14,137297.98,1.26,86399.0,0
"2018-06-15",318.80,-1.96,1307.33,146188.38,1.30,86400.0,0
"2018-06-16",157.17,-2.03,1176.45,46203.98,0.73,86400.0,0
"2018-06-17",123.50,-2.15,1396.21,41631.92,0.69,86400.0,0
"2018-06-18",291.27,-1.35,1501.92,157801.51,1.35,86400.0,0
"2018-06-19",219.98,-1.94,1553.23,105047.16,1.10,86400.0,0
"2018-06-20",270.43,-2.38,1477.66,161110.03,1.37,86400.0,0
"2018-06-21",269.24,-2.74,1358.20,138644.59,1.29,82794.0,0
"2018-06-22",273.00,-4.01,1337.13,155863.98,1.34,86400.0,0
"2018-06-23",298.24,-1.96,1263.75,168802.09,1.40,86400.0,0
"2018-06-24",192.55,-2.43,1295.26,65586.09,0.87,86400.0,0
"2018-06-25",362.57,-1.81,1405.02,167156.59,1.39,86400.0,0
"2018-06-26",361.69,-2.18,1161.72,173518.43,1.42,86400.0,0
"2018-06-27",307.08,-2.42,1262.85,158618.48,1.35,86400.0,0
"2018-06-28",300.41,-2.48,1306.68,156287.40,1.34,86400.0,0
"2018-06-29",276.55,-2.42,1223.31,139427.52,1.27,86400.0,0
"2018-06-30",228.76,-2.31,1624.90,107936.22,1.12,86400.0,0
