date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2021-04-01",295.54,-4.08,1372.60,140193.97,1.27,86400.0,0
"2021-04-02",301.20,-2.91,977.19,139408.50,1.27,86400.0,0
"2021-04-03",306.17,-3.10,983.36,139672.23,1.27,86400.0,0
"2021-04-04",308.30,-2.77,977.18,140834.72,1.28,86400.0,0
"2021-04-05",288.19,-3.26,1344.29,138569.99,1.27,86400.0,0
"2021-04-06",282.08,-3.10,1121.47,142625.44,1.30,83773.0,0
"2021-04-07",324.18,-2.91,1029.16,154199.74,1.34,86400.0,0
"2021-04-08",315.71,-4.05,1116.89,147449.74,1.31,86400.0,0
"2021-04-09",321.65,-2.70,1016.26,151124.45,1.32,86362.0,0
"2021-04-10",319.72,-3.85,1031.08,149257.88,1.31,86400.0,0
"2021-04-11",279.93,-3.21,1260.82,114313.45,1.15,86400.0,0
"2021-04-12",318.51,-2.84,1010.11,150877.15,1.32,86400.0,0
"2021-04-13",317.05,-2.88,1032.38,149529.87,1.32,86362.0,0
"2021-04-14",290.93,-3.54,1208.38,128113.47,1.22,86362.0,0
"2021-04-15",290.64,-2.79,1223.92,139905.06,1.27,86362.0,0
"2021-04-16",221.42,-2.45,1558.23,100049.45,1.08,86400.0,0
"2021-04-17",331.84,-3.29,1041.55,160451.52,1.36,86362.0,0
"2021-04-18",275.30,-3.48,1293.28,129968.65,1.23,86400.0,0
"2021-04-19",323.21,-2.79,1013.74,155913.53,1.34,86261.0,0
"2021-04-20",340.04,-2.71,1036.43,160145.11,1.36,86400.0,0
"2021-04-21",333.23,-3.04,1022.47,155092.55,1.34,86400.0,0
"2021-04-22",340.12,-3.10,1195.19,161615.59,1.37,86400.0,0
"2021-04-23",323.27,-3.02,1119.36,150067.67,1.32,86400.0,0
"2021-04-24",337.73,-3.16,1027.81,156331.90,1.35,86400.0,0
"2021-04-25",344.18,-3.74,1075.80,161923.04,1.37,86362.0,0
"2021-04-26",287.37,-2.84,1259.87,122783.01,1.19,86256.0,0
"2021-04-27",209.05,-2.63,1421.06,95500.44,1.05,86400.0,0
"2021-04-28",195.32,-3.16,1589.41,89102.22,1.02,86400.0,0
"2021-04-29",330.00,-2.57,1056.76,156792.79,1.35,86400.0,0
"2021-04-30",344.02,-2.79,1043.04,159665.28,1.36,86400.0,0
