date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2019-03-01",152.48,-2.75,879.79,56063.85,0.81,86400.0,0
"2019-03-02",56.99,-1.51,275.81,6647.08,0.28,86400.0,0
"2019-03-03",97.79,-1.02,592.70,21360.54,0.50,86400.0,0
"2019-03-04",149.13,-1.70,1191.26,58631.77,0.82,86400.0,0
"2019-03-05",117.05,-1.97,758.92,30569.27,0.59,86400.0,0
"2019-03-06",51.66,-2.00,915.63,10166.05,0.34,86400.0,0
"2019-03-07",133.12,-2.07,1028.79,49537.53,0.76,86400.0,0
"2019-03-08",78.58,-1.87,918.54,17953.53,0.46,86400.0,0
"2019-03-09",181.25,-2.05,1244.04,71722.49,0.91,86400.0,0
"2019-03-10",98.53,-1.69,502.46,18417.03,0.46,86400.0,0
"2019-03-11",157.85,-1.87,1082.92,65691.10,0.87,86400.0,0
"2019-03-12",172.05,-2.13,987.12,71001.46,0.91,86400.0,0
"2019-03-13",163.39,-1.64,926.79,51573.37,0.77,86400.0,0
"2019-03-14",230.41,-1.85,1107.11,103682.58,1.10,85912.0,0
"2019-03-15",251.44,-2.23,849.73,104507.75,1.10,86400.0,0
"2019-03-16",252.11,-2.22,851.94,103688.00,1.10,86400.0,0
"2019-03-17",242.89,-2.40,853.59,103116.57,1.09,86400.0,0
"2019-03-18",224.64,-2.20,992.06,90459.98,1.02,86400.0,0
"2019-03-19",261.61,-2.45,869.03,109174.15,1.12,86400.0,0
"2019-03-20",233.32,-2.42,945.17,99697.74,1.07,86400.0,0
"2019-03-21",136.76,-2.35,1092.56,59019.96,0.84,83123.0,0
"2019-03-22",88.32,-1.79,742.62,17673.98,0.45,86400.0,0
"2019-03-23",147.15,-1.87,960.77,43788.06,0.71,86400.0,0
"2019-03-24",215.96,-2.37,1276.71,104888.59,1.10,86400.0,0
"2019-03-25",267.84,-2.37,935.47,110848.63,1.13,86400.0,0
"2019-03-26",184.70,-2.48,1051.86,56014.97,0.81,86400.0,0
"2019-03-27",144.88,-2.37,767.78,35800.68,0.64,86400.0,0
"2019-03-28",168.30,-2.50,1256.08,71141.50,0.91,86271.0,0
"2019-03-29",189.86,-1.79,1296.57,81870.63,0.97,86400.0,0
"2019-03-30",202.16,-2.33,1303.99,95091.17,1.05,86400.0,0
"2019-03-31",225.37,-2.30,1184.62,103234.22,1.09,86400.0,0
