date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2019-06-01",348.20,-2.68,957.71,135049.36,1.25,86400.0,0
"2019-06-02",354.73,-2.63,982.87,137649.42,1.26,86400.0,0
"2019-06-03",336.93,-2.93,986.19,149067.35,1.31,86400.0,0
"2019-06-04",361.63,-2.91,984.56,142123.43,1.28,86286.0,0
"2019-06-05",120.05,-2.93,606.69,18652.41,0.46,86400.0,0
"2019-06-06",183.72,-2.14,1422.24,61856.24,0.85,86400.0,0
"2019-06-07",176.14,-2.82,1416.66,64524.31,0.86,86400.0,0
"2019-06-08",184.08,-1.68,1353.77,60934.02,0.84,86400.0,0
"2019-06-09",382.53,-2.72,1034.48,126021.49,1.28,77106.0,0
"2019-06-10",342.04,-2.82,953.95,132165.90,1.24,86400.0,0
"2019-06-11",350.09,-3.85,958.19,136292.47,1.26,86400.0,0
"2019-06-12",326.37,-3.88,974.56,129278.73,1.22,86400.0,0
"2019-06-13",348.81,-3.15,968.95,135716.40,1.25,86400.0,0
"2019-06-14",284.66,-2.69,1345.93,118673.42,1.17,86400.0,0
"2019-06-15",356.16,-2.90,959.33,138098.92,1.26,86400.0,0
"2019-06-16",340.58,-2.74,1137.39,129272.53,1.22,86400.0,0
"2019-06-17",350.00,-2.52,977.35,136392.79,1.26,86400.0,0
"2019-06-18",354.50,-2.63,1347.66,156028.40,1.34,86400.0,0
"2019-06-19",190.98,-2.64,1451.03,56914.11,0.81,86400.0,0
"2019-06-20",170.81,-3.09,1438.18,59547.38,0.83,86400.0,0
"2019-06-21",148.72,-2.80,1274.68,31722.17,0.61,86400.0,0
"2019-06-22",278.65,-2.79,1352.68,119103.34,1.17,86400.0,0
"2019-06-23",217.08,-2.99,1387.36,70906.77,0.91,86400.0,0
"2019-06-24",333.10,-3.29,1146.78,154668.85,1.34,86400.0,0
"2019-06-25",264.45,-2.53,1313.98,95938.01,1.05,86400.0,0
"2019-06-26",163.65,-2.63,1212.52,50467.09,0.76,86400.0,0
"2019-06-27",123.54,-1.79,990.54,24033.26,0.53,85571.0,0
"2019-06-28",236.51,-2.22,1428.02,112282.56,1.14,86400.0,0
"2019-06-29",349.58,-2.61,1054.51,142820.76,1.29,86400.0,0
"2019-06-30",346.47,-2.95,1093.37,137294.13,1.26,86290.0,0
