date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2021-12-01",133.58,-3.52,550.39,40047.72,0.68,86400.0,0
"2021-12-02",115.26,-3.89,603.84,34486.16,0.63,86400.0,0
"2021-12-03",127.17,-3.48,565.22,37919.51,0.66,86400.0,0
"2021-12-04",127.03,-3.48,535.01,37355.19,0.66,86400.0,0
"2021-12-05",23.74,-3.22,150.94,1487.33,0.13,86400.0,0
"2021-12-06",30.63,-1.53,222.25,2375.11,0.17,86400.0,0
"2021-12-07",45.92,-1.78,561.49,5558.04,0.25,86400.0,0
"2021-12-08",122.56,-3.12,522.54,34859.23,0.64,86400.0,0
"2021-12-09",37.31,-2.66,650.61,7120.26,0.29,86400.0,0
"2021-12-10",114.07,-3.02,742.41,34935.34,0.64,86400.0,0
"2021-12-11",123.24,-3.15,546.09,35400.77,0.64,86400.0,0
"2021-12-12",63.43,-3.23,742.01,12373.83,0.38,86400.0,0
"2021-12-13",13.97,-3.23,174.87,693.09,0.09,86399.0,0
"2021-12-14",16.22,-2.16,126.80,852.33,0.10,86400.0,0
"2021-12-15",127.42,-2.61,547.13,38505.73,0.67,86400.0,0
"2021-12-16",35.10,-3.62,367.90,3501.08,0.20,86400.0,0
"2021-12-17",77.91,-3.23,815.74,21690.95,0.50,86400.0,0
"2021-12-18",85.19,-2.92,741.85,21658.43,0.50,86400.0,0
"2021-12-19",132.30,-3.22,550.84,40191.96,0.68,86400.0,0
"2021-12-20",76.63,-4.44,732.36,17357.30,0.45,85498.0,0
"2021-12-21",112.86,-3.92,754.57,32951.36,0.62,86400.0,0
"2021-12-22",34.81,-4.51,317.31,4527.16,0.23,86400.0,0
"2021-12-23",6.74,-1.61,74.60,162.79,0.04,86400.0,0
"2021-12-24",52.89,-2.18,783.87,11571.82,0.37,86400.0,0
"2021-12-25",50.99,-2.85,669.58,8584.26,0.32,86400.0,0
"2021-12-26",109.47,-2.30,858.00,32240.46,0.61,86400.0,0
"2021-12-27",19.39,-2.40,169.84,1127.89,0.11,86400.0,0
"2021-12-28",42.74,-2.11,744.03,9344.12,0.33,86400.0,0
"2021-12-29",21.84,-2.66,181.90,1335.46,0.12,86400.0,0
"2021-12-30",102.53,-2.88,672.91,31289.21,0.60,86400.0,0
"2021-12-31",39.65,-3.03,218.53,3619.50,0.20,86400.0,0
