date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2020-07-01",178.91,5.83,1067.57,39345.78,0.67,86400.0,0
"2020-07-02",280.50,12.59,860.46,60619.60,0.84,86400.0,0
"2020-07-03",349.67,13.63,784.78,69676.79,0.90,86400.0,0
"2020-07-04",346.05,12.76,936.71,65869.23,0.87,86400.0,0
"2020-07-05",337.02,12.90,831.84,63480.55,0.86,86400.0,0
"2020-07-06",326.87,12.62,829.26,70705.34,0.90,86400.0,0
"2020-07-07",410.35,11.51,783.82,63487.29,0.96,68400.0,1
"2020-07-08",330.39,15.59,887.90,66724.37,0.88,86400.0,0
"2020-07-09",304.63,11.18,851.10,53855.43,0.79,86400.0,0
"2020-07-10",307.89,7.78,935.98,64812.27,0.87,86400.0,0
"2020-07-11",333.73,9.71,875.90,65754.43,0.87,86400.0,0
"2020-07-12",204.98,5.29,831.66,34526.07,0.63,86400.0,0
"2020-07-13",102.38,0.82,956.31,13436.34,0.39,86400.0,0
"2020-07-14",172.22,6.30,1005.82,30234.38,0.59,86400.0,0
"2020-07-15",254.41,8.70,898.43,49462.11,0.76,86400.0,0
"2020-07-16",238.89,5.15,1004.93,36638.24,0.65,86400.0,0
"2020-07-17",181.98,0.30,772.91,29818.15,0.59,86400.0,0
"2020-07-18",130.32,0.52,1130.49,18070.61,0.46,86400.0,0
"2020-07-19",260.68,3.99,853.21,57716.29,0.82,86400.0,0
"2020-07-20",254.44,2.92,1070.57,45023.90,0.72,86400.0,0
"2020-07-21",156.04,0.79,976.21,36269.67,0.65,86400.0,0
"2020-07-22",250.80,1.04,960.32,61200.54,0.84,86400.0,0
"2020-07-23",137.64,-0.90,971.07,22849.00,0.51,86400.0,0
"2020-07-24",61.46,-0.93,298.61,4173.08,0.22,86400.0,0
"2020-07-25",147.95,0.08,1066.23,38203.79,0.66,86400.0,0
"2020-07-26",204.27,-0.67,906.80,41227.34,0.69,86400.0,0
"2020-07-27",73.58,-1.91,674.89,11825.27,0.37,86400.0,0
"2020-07-28",41.11,-0.81,217.01,2282.37,0.16,86400.0,0
"2020-07-29",118.12,-1.33,760.05,20668.58,0.53,72818.0,0
"2020-07-30",93.82,-0.81,544.81,10127.91,0.35,83157.0,0
"2020-07-31",70.73,-1.00,522.37,4597.98,0.23,86400.0,0
