date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2018-03-01",72.96,-2.73,307.67,12341.76,0.38,86400.0,0
"2018-03-02",37.42,-2.09,235.82,2991.70,0.19,86400.0,0
"2018-03-03",27.82,-2.59,108.05,1501.11,0.13,86400.0,0
"2018-03-04",42.29,-1.65,406.59,5290.02,0.25,86400.0,0
"2018-03-05",41.23,-2.01,251.49,3502.39,0.20,86400.0,0
"2018-03-06",56.75,-1.37,411.49,9534.99,0.33,86307.0,0
"2018-03-07",60.28,-2.09,372.81,7833.29,0.30,86400.0,0
"2018-03-08",61.23,-2.33,353.23,8702.82,0.32,86400.0,0
"2018-03-09",46.20,-2.66,199.99,4282.37,0.22,86400.0,0
"2018-03-10",75.78,-2.09,424.58,13651.25,0.40,86400.0,0
"2018-03-11",80.54,-2.73,381.18,12950.95,0.39,86400.0,0
"2018-03-12",89.16,-3.28,448.45,17928.75,0.46,86400.0,0
"2018-03-13",79.73,-2.24,529.71,14070.09,0.40,86400.0,0
"2018-03-14",54.23,-2.36,342.90,5860.64,0.26,86400.0,0
"2018-03-15",59.34,-1.44,594.69,8278.96,0.31,86317.0,0
"2018-03-16",52.48,-2.36,247.82,4669.23,0.23,86400.0,0
"2018-03-17",58.90,-1.87,258.11,6235.78,0.27,86400.0,0
"2018-03-18",66.72,-1.96,310.12,7832.37,0.30,86400.0,0
"2018-03-19",40.69,-1.79,298.26,3374.74,0.20,86400.0,0
"2018-03-20",73.39,-2.68,434.17,9474.84,0.33,86400.0,0
"2018-03-21",121.59,-2.96,448.68,27593.99,0.57,86400.0,0
"2018-03-22",135.31,-2.43,450.74,29336.15,0.58,86385.0,0
"2018-03-23",136.44,-2.39,478.11,29738.27,0.59,86400.0,0
"2018-03-24",144.80,-4.22,478.49,32795.54,0.62,86400.0,0
"2018-03-25",147.62,-3.75,481.34,33571.62,0.62,86400.0,0
"2018-03-26",153.17,-4.22,498.48,35802.82,0.64,86400.0,0
"2018-03-27",156.49,-4.99,501.83,36622.82,0.65,86400.0,0
"2018-03-28",135.45,-2.31,730.24,28184.89,0.57,86400.0,0
"2018-03-29",105.23,-2.23,571.24,17781.54,0.45,86400.0,0
"2018-03-30",101.59,-2.75,481.06,14949.79,0.42,86400.0,0
"2018-03-31",106.43,-2.59,499.41,14269.26,0.41,86400.0,0
