date,wssShortRadMean,wssShortRadMinimum,wssShortRadMaximum,wssShortRadVariance,wssShortRadStdErMean,wssShortRadNumPts,shortRadQF
"2021-12-01",61.86,-1.56,556.15,11691.99,0.37,86400.0,0
"2021-12-02",155.32,-2.25,1216.90,57065.63,0.81,86400.0,0
"2021-12-03",116.51,-2.33,1242.47,43492.39,0.71,86400.0,0
"2021-12-04",74.73,-1.82,869.46,13154.04,0.39,86400.0,0
"2021-12-05",47.17,-1.00,379.80,4975.09,0.24,86400.0,0
"2021-12-06",8.88,-1.47,142.50,452.67,0.08,67709.0,1
"2021-12-07",,,,-0.00,,0.0,1
"2021-12-08",,,,-0.00,,0.0,1
"2021-12-09",,,,-0.00,,0.0,1
"2021-12-10",,,,-0.00,,0.0,1
"2021-12-11",,,,-0.00,,0.0,1
"2021-12-12",,,,-0.00,,0.0,1
"2021-12-13",,,,-0.00,,0.0,1
"2021-12-14",,,,-0.00,,0.0,1
"2021-12-15",,,,-0.00,,0.0,1
"2021-12-16",,,,-0.00,,0.0,1
"2021-12-17",,,,-0.00,,0.0,1
"2021-12-18",,,,-0.00,,0.0,1
"2021-12-19",,,,-0.00,,0.0,1
"2021-12-20",,,,-0.00,,0.0,1
"2021-12-21",,,,-0.00,,0.0,1
"2021-12-22",,,,-0.00,,0.0,1
"2021-12-23",,,,-0.00,,0.0,1
"2021-12-24",,,,-0.00,,0.0,1
"2021-12-25",,,,-0.00,,0.0,1
"2021-12-26",,,,-0.00,,0.0,1
"2021-12-27",,,,-0.00,,0.0,1
"2021-12-28",,,,-0.00,,0.0,1
"2021-12-29",,,,-0.00,,0.0,1
"2021-12-30",,,,-0.00,,0.0,1
"2021-12-31",,,,-0.00,,0.0,1
