date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2014-12-01",6.6654,2.9965,11.3801,3.3981,0.0063,86337.0,1
"2014-12-02",-1.4369,-4.0497,3.0025,3.6505,0.0065,86400.0,1
"2014-12-03",0.9491,-2.8559,4.7603,5.7285,0.0081,86400.0,1
"2014-12-04",-0.2582,-2.9889,4.1698,1.7412,0.0045,86382.0,1
"2014-12-05",-3.4316,-7.5039,0.8396,7.3869,0.0092,86369.0,1
"2014-12-06",0.2246,-1.6919,1.4136,0.5212,0.0025,86400.0,1
"2014-12-07",-2.2381,-8.0530,1.2757,4.8599,0.0077,82299.0,1
"2014-12-08",-9.5205,-12.5975,-6.1619,5.0733,0.0077,86400.0,1
"2014-12-09",-1.7472,-6.8449,2.0814,8.8875,0.0101,86400.0,1
"2014-12-10",1.2360,0.1394,1.5932,0.0801,0.0010,86392.0,1
"2014-12-11",-1.6107,-2.9207,0.1476,1.0438,0.0035,86400.0,1
"2014-12-12",-3.4476,-4.7273,-1.9299,0.6488,0.0027,86400.0,1
"2014-12-13",-2.6473,-3.6801,0.0390,1.6313,0.0043,86400.0,1
"2014-12-14",-1.4831,-3.5718,1.7220,2.8232,0.0057,86400.0,1
"2014-12-15",-0.5125,-2.7800,1.6689,0.9958,0.0034,86400.0,1
"2014-12-16",-1.2181,-3.3091,1.3796,2.9901,0.0059,86399.0,1
"2014-12-17",2.6042,0.8447,4.7309,1.1827,0.0037,86400.0,1
"2014-12-18",0.4094,-0.9024,2.5109,0.5484,0.0025,86396.0,1
"2014-12-19",-2.0285,-3.3848,-0.1712,0.5756,0.0026,86387.0,1
"2014-12-20",-4.0328,-7.8862,0.7628,7.6597,0.0094,86400.0,1
"2014-12-21",-2.5323,-3.7728,-0.5330,1.0316,0.0035,86297.0,1
"2014-12-22",-0.7977,-2.0377,2.0119,1.9597,0.0048,86400.0,1
"2014-12-23",2.0288,0.0659,3.5598,1.2278,0.0038,84606.0,1
"2014-12-24",3.0853,2.1754,4.4345,0.2507,0.0017,86400.0,1
"2014-12-25",8.3489,4.4292,13.8903,8.9272,0.0102,86356.0,1
"2014-12-26",3.4686,1.6978,5.3505,1.2295,0.0038,86400.0,1
"2014-12-27",2.9462,-0.3298,7.2513,7.0657,0.0090,86396.0,1
"2014-12-28",4.5442,2.2275,6.1558,0.7657,0.0030,83600.0,1
"2014-12-29",-0.4705,-2.3990,2.2350,1.7335,0.0045,86298.0,1
"2014-12-30",-6.3978,-9.0393,-2.2710,3.6155,0.0065,86400.0,1
"2014-12-31",-8.7359,-11.4281,-5.2289,3.6251,0.0065,86400.0,1
