date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2016-04-01",19.5836,15.5940,25.1436,8.9262,0.0102,86400.0,0
"2016-04-02",13.0657,7.1992,21.5499,15.2118,0.0133,86400.0,0
"2016-04-03",3.7807,-3.2396,12.9746,21.0964,0.0156,86284.0,0
"2016-04-04",14.4130,9.9849,20.6115,6.7983,0.0089,86400.0,0
"2016-04-05",1.3752,-4.5131,11.8046,15.1586,0.0132,86400.0,0
"2016-04-06",4.3589,-0.7024,10.7914,13.1172,0.0123,86400.0,0
"2016-04-07",9.3712,6.1489,13.0173,2.0648,0.0049,86400.0,0
"2016-04-08",5.0287,2.1596,9.7147,3.7426,0.0066,86400.0,0
"2016-04-09",3.3916,-0.8119,6.8249,3.7615,0.0066,86400.0,0
"2016-04-10",1.0732,-4.3838,9.3019,21.5101,0.0158,86400.0,0
"2016-04-11",11.2802,5.9469,20.1990,25.5372,0.0172,86400.0,0
"2016-04-12",14.4986,9.2651,18.7707,10.9452,0.0113,86400.0,0
"2016-04-13",6.9602,2.1528,12.8000,9.4645,0.0105,86400.0,0
"2016-04-14",9.6119,4.9663,15.0439,8.4170,0.0099,86400.0,0
"2016-04-15",10.9925,6.5776,16.0334,7.6292,0.0094,86317.0,0
"2016-04-16",13.1899,9.3739,19.8723,11.8883,0.0117,86400.0,0
"2016-04-17",15.9606,9.2343,22.4747,12.8809,0.0122,86400.0,0
"2016-04-18",21.2991,15.6009,28.2880,11.7507,0.0117,86400.0,0
"2016-04-19",22.5314,19.2039,25.5983,3.1736,0.0061,86400.0,0
"2016-04-20",14.4118,9.3582,20.6169,9.7933,0.0106,86400.0,0
"2016-04-21",14.8128,9.4309,21.9446,16.6704,0.0139,86400.0,0
"2016-04-22",18.4053,15.1096,21.0638,2.6471,0.0055,86400.0,0
"2016-04-23",14.7402,12.5378,17.2780,2.3347,0.0052,86400.0,0
"2016-04-24",12.2728,6.0471,19.1431,15.6888,0.0135,86400.0,0
"2016-04-25",18.7450,13.8097,24.9759,13.9421,0.0127,86400.0,0
"2016-04-26",22.4557,19.0580,24.9092,1.2434,0.0038,86400.0,0
"2016-04-27",15.7762,11.2667,23.2510,17.6329,0.0143,86400.0,0
"2016-04-28",10.6885,9.2733,12.6825,0.3463,0.0020,86400.0,0
"2016-04-29",7.9617,6.2113,10.2490,1.4574,0.0041,86400.0,0
"2016-04-30",9.8716,9.0156,11.4360,0.3599,0.0020,86400.0,0
