date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2020-01-01",12.4421,8.2270,17.3182,8.3636,0.0099,85560.0,0
"2020-01-02",16.2273,9.7588,24.0011,21.3959,0.0159,85140.0,0
"2020-01-03",22.1494,19.1515,27.2577,8.1336,0.0101,79770.0,0
"2020-01-04",21.3690,17.1515,25.2555,3.2928,0.0065,78930.0,0
"2020-01-05",11.0667,5.2011,17.1850,11.8579,0.0125,75390.0,0
"2020-01-06",11.6201,6.1666,18.3599,16.1181,0.0137,86400.0,0
"2020-01-07",13.4001,7.8631,20.6179,18.2051,0.0147,83730.0,0
"2020-01-08",12.2221,6.3032,17.6468,10.9835,0.0113,85920.0,0
"2020-01-09",13.1984,7.3296,22.8154,26.2736,0.0185,77160.0,0
"2020-01-10",19.1958,15.2539,25.4795,10.7424,0.0116,79320.0,0
"2020-01-11",21.7629,18.8503,26.4765,6.7163,0.0096,73080.0,1
"2020-01-12",22.9915,19.3704,27.5301,6.2988,0.0089,80010.0,0
"2020-01-13",22.9084,20.1961,26.8129,4.4949,0.0073,83509.0,0
"2020-01-14",20.9320,17.3224,25.9504,7.9898,0.0096,86317.0,0
"2020-01-15",21.7679,16.4897,26.6569,8.0664,0.0097,86400.0,0
"2020-01-16",20.9128,17.3905,24.6764,3.8353,0.0067,85753.0,0
"2020-01-17",17.9689,14.1992,22.3915,4.8754,0.0078,80160.0,0
"2020-01-18",17.1066,13.2293,23.5538,13.4805,0.0128,82620.0,0
"2020-01-19",18.6607,16.0393,24.1082,5.0974,0.0078,83580.0,0
"2020-01-20",9.1660,3.7156,16.9236,11.4937,0.0125,73620.0,1
"2020-01-21",4.9415,1.6065,8.4449,3.1179,0.0067,70020.0,1
"2020-01-22",4.6091,-0.8111,10.5646,17.3507,0.0157,70260.0,1
"2020-01-23",12.3237,9.2762,17.0595,7.4683,0.0093,85710.0,0
"2020-01-24",15.8451,12.6164,22.3493,11.2361,0.0115,85410.0,0
"2020-01-25",14.8063,10.2503,18.8444,6.2463,0.0086,84300.0,0
"2020-01-26",11.1970,6.6962,16.9695,9.3116,0.0104,86220.0,0
"2020-01-27",13.7966,10.9306,17.0475,3.2737,0.0062,86400.0,0
"2020-01-28",12.8381,8.0102,17.3395,7.7406,0.0095,86250.0,0
"2020-01-29",11.2858,7.1930,15.2839,4.7510,0.0074,86400.0,0
"2020-01-30",12.4984,10.9296,16.0522,1.6806,0.0044,85920.0,0
"2020-01-31",14.3801,11.2480,19.6057,9.6996,0.0106,86250.0,0
