date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2018-07-01",27.3548,25.3567,29.7368,1.4797,0.0041,86400.0,0
"2018-07-02",27.3793,25.3990,30.0317,1.4554,0.0041,86400.0,0
"2018-07-03",27.1866,25.4107,29.3485,1.3287,0.0039,86400.0,0
"2018-07-04",27.6938,24.8667,30.3879,1.9105,0.0048,82179.0,0
"2018-07-05",27.4107,25.4530,30.0998,1.6160,0.0043,86400.0,0
"2018-07-06",27.9709,26.1070,29.6529,0.6434,0.0035,52104.0,1
"2018-07-07",27.6915,25.8567,30.4290,1.7317,0.0045,86353.0,0
"2018-07-08",27.8542,25.5502,31.4754,2.4651,0.0053,86280.0,0
"2018-07-09",26.5768,23.3146,30.1060,2.3927,0.0053,86400.0,0
"2018-07-10",26.5022,24.8650,28.5729,1.5174,0.0043,82493.0,0
"2018-07-11",27.2591,25.7540,29.7436,1.1866,0.0037,84702.0,0
"2018-07-12",26.9852,25.1912,29.1091,1.2860,0.0039,86400.0,0
"2018-07-13",26.8398,24.9674,29.1674,1.6118,0.0043,86400.0,0
"2018-07-14",27.3770,25.2181,29.9757,1.9360,0.0047,86352.0,0
"2018-07-15",28.3504,26.5928,29.9652,0.9295,0.0043,50545.0,1
"2018-07-16",27.4414,25.9639,29.5704,0.9550,0.0033,86400.0,0
"2018-07-17",27.5817,26.0528,29.8599,1.3099,0.0039,86400.0,0
"2018-07-18",27.5842,25.6428,29.8811,1.3844,0.0040,86400.0,0
"2018-07-19",27.6027,25.8769,30.2027,1.2817,0.0039,86400.0,0
"2018-07-20",27.7833,26.2634,30.4874,1.2713,0.0038,86400.0,0
"2018-07-21",27.6214,25.6998,30.0604,1.2693,0.0038,86400.0,0
"2018-07-22",27.0484,25.4465,28.8720,0.8808,0.0032,86400.0,0
"2018-07-23",26.7982,25.2124,28.9498,1.2281,0.0038,86400.0,0
"2018-07-24",26.7810,24.1300,29.5077,1.7482,0.0045,86400.0,0
"2018-07-25",27.2095,25.2373,29.7182,1.9976,0.0049,84262.0,0
"2018-07-26",27.1593,25.3521,30.0213,1.6263,0.0044,84256.0,0
"2018-07-27",27.3878,25.8313,29.7858,1.3303,0.0039,86400.0,0
"2018-07-28",27.3366,25.7816,29.7115,1.3969,0.0040,86400.0,0
"2018-07-29",27.3021,25.4287,30.2493,1.6077,0.0043,86400.0,0
"2018-07-30",27.8649,25.9195,30.8001,2.1967,0.0050,86354.0,0
"2018-07-31",27.9503,26.0044,30.6698,1.9412,0.0047,86329.0,0
