date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2016-07-01",12.7564,7.2906,19.9417,17.1739,0.0141,86400.0,0
"2016-07-02",17.0589,11.2785,23.1525,12.7254,0.0121,86400.0,0
"2016-07-03",18.9474,13.9456,23.8665,9.5095,0.0105,86400.0,0
"2016-07-04",19.4543,13.9507,24.4212,10.6429,0.0111,86400.0,0
"2016-07-05",21.9085,17.0283,27.8491,11.5906,0.0116,86400.0,0
"2016-07-06",21.7993,17.9246,26.2008,5.4357,0.0079,86400.0,0
"2016-07-07",18.4227,15.0809,23.9026,4.9619,0.0076,86400.0,0
"2016-07-08",16.7404,15.1048,20.5871,1.1792,0.0037,86400.0,0
"2016-07-09",16.0879,11.7338,22.0758,13.0332,0.0123,86400.0,0
"2016-07-10",16.3213,13.4906,20.1113,2.9856,0.0059,86400.0,0
"2016-07-11",19.5853,16.5750,26.7826,9.7591,0.0106,86400.0,0
"2016-07-12",22.3223,17.3914,26.3635,9.4311,0.0104,86400.0,0
"2016-07-13",21.8064,18.6611,26.1938,6.3994,0.0093,73451.0,0
"2016-07-14",16.4242,14.3833,22.8613,1.4650,0.0043,80956.0,0
"2016-07-15",13.8791,11.4848,17.8974,4.1641,0.0069,86400.0,0
"2016-07-16",16.7896,11.8172,22.9782,15.7791,0.0135,86400.0,0
"2016-07-17",19.6663,16.4412,25.2237,8.5055,0.0099,86400.0,0
"2016-07-18",18.1521,14.0433,22.6384,6.6880,0.0088,86400.0,0
"2016-07-19",19.2825,14.2697,26.4814,13.3050,0.0130,78698.0,0
"2016-07-20",26.0823,19.9985,29.5745,8.6369,0.0148,39426.0,1
"2016-07-21",25.7204,24.3249,27.1750,0.7458,0.0080,11624.0,1
"2016-07-22",,,,-0.0000,,0.0,1
"2016-07-23",26.0536,23.7151,27.2822,1.0758,0.0067,23884.0,1
"2016-07-24",21.9460,19.0708,26.3658,5.4321,0.0079,86400.0,0
"2016-07-25",21.0430,16.8535,24.6471,6.0196,0.0087,80338.0,0
"2016-07-26",22.5416,17.3428,28.5828,13.8939,0.0127,86400.0,0
"2016-07-27",19.0550,17.5001,22.5343,0.7507,0.0029,86399.0,0
"2016-07-28",17.1430,14.1406,20.9937,4.2654,0.0070,86400.0,0
"2016-07-29",16.4032,10.1178,23.8127,18.6452,0.0147,86400.0,0
"2016-07-30",18.7390,14.5048,23.7816,8.8401,0.0101,86400.0,0
"2016-07-31",19.8191,14.4964,24.7686,10.5520,0.0111,86400.0,0
