date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2021-11-01",5.3363,3.9580,8.2184,0.5789,0.0026,84274.0,0
"2021-11-02",4.7123,2.0573,8.1655,3.0897,0.0060,86400.0,0
"2021-11-03",5.8245,1.8498,9.2690,2.5922,0.0055,86396.0,0
"2021-11-04",7.5579,5.0028,11.9757,2.8720,0.0058,86400.0,0
"2021-11-05",8.8971,5.5510,15.6922,12.0692,0.0121,82110.0,0
"2021-11-06",11.6074,7.1947,20.7168,21.1556,0.0156,86400.0,0
"2021-11-07",15.5644,10.7361,25.2014,23.4599,0.0177,75276.0,1
"2021-11-08",15.9340,10.5412,20.7779,9.5004,0.0105,85380.0,0
"2021-11-09",12.0288,7.5799,17.9478,7.0321,0.0090,86399.0,0
"2021-11-10",13.2988,11.1564,16.5806,1.6150,0.0043,85440.0,0
"2021-11-11",8.2211,2.6488,12.7135,8.9083,0.0102,85740.0,0
"2021-11-12",4.8629,1.1017,10.3699,7.3115,0.0095,81600.0,0
"2021-11-13",-2.3190,-4.8092,2.0655,4.0890,0.0090,50350.0,1
"2021-11-14",8.5146,5.3327,13.6316,5.8292,0.0084,82225.0,0
"2021-11-15",12.3338,7.3128,21.7221,23.0419,0.0165,84510.0,0
"2021-11-16",15.9990,11.3637,22.9182,12.9167,0.0123,84963.0,0
"2021-11-17",11.0199,7.2652,17.3921,12.6636,0.0124,81840.0,0
"2021-11-18",3.4537,-2.9134,9.5405,14.1513,0.0128,86400.0,0
"2021-11-19",5.6295,1.8313,11.3803,10.4083,0.0113,81060.0,0
"2021-11-20",8.4397,2.9531,14.9779,9.2020,0.0104,85590.0,0
"2021-11-21",7.5629,1.5373,14.1843,11.4215,0.0117,83670.0,0
"2021-11-22",4.2726,-2.1022,12.6820,19.4486,0.0150,86400.0,0
"2021-11-23",7.3948,4.8111,10.7834,1.6846,0.0076,28798.0,1
"2021-11-24",13.5519,8.7513,16.1544,1.6589,0.0048,70818.0,1
"2021-11-25",1.8634,-1.0375,8.7526,3.3066,0.0066,75210.0,0
"2021-11-26",4.6768,-2.3360,17.1592,36.1921,0.0206,85110.0,0
"2021-11-27",11.3451,5.1818,19.5176,15.0572,0.0136,81810.0,0
"2021-11-28",7.0353,0.2618,14.1927,13.7883,0.0126,86400.0,0
"2021-11-29",10.4719,4.6039,21.9837,31.5995,0.0191,86310.0,0
"2021-11-30",10.8698,6.4546,18.0538,9.4453,0.0105,86400.0,0
