date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2017-08-01",23.1777,18.6804,26.8774,5.0965,0.0077,86400.0,0
"2017-08-02",23.9951,19.7623,27.8344,5.5723,0.0080,86400.0,0
"2017-08-03",24.1851,19.0466,28.4522,7.5228,0.0093,86400.0,0
"2017-08-04",23.9380,18.3455,27.2619,3.8710,0.0084,55477.0,1
"2017-08-05",19.6826,15.0048,25.0032,7.9366,0.0096,86400.0,0
"2017-08-06",21.6024,15.6699,28.6647,15.5702,0.0134,86400.0,0
"2017-08-07",22.3597,20.6593,27.6095,2.2523,0.0051,86400.0,0
"2017-08-08",22.2216,19.5019,26.0323,4.2379,0.0070,86400.0,0
"2017-08-09",22.6460,19.1313,27.7712,7.1798,0.0091,86400.0,0
"2017-08-10",22.2784,20.4709,25.3600,2.1887,0.0050,86400.0,0
"2017-08-11",23.2920,21.1050,26.9239,2.9252,0.0058,86400.0,0
"2017-08-12",23.6746,20.4416,27.1011,3.1488,0.0060,86400.0,0
"2017-08-13",24.2957,21.1944,28.2516,4.1323,0.0069,86400.0,0
"2017-08-14",24.8904,22.0662,27.6878,2.6673,0.0056,86400.0,0
"2017-08-15",24.5719,21.9558,29.1014,5.6006,0.0081,86399.0,0
"2017-08-16",24.9089,21.2050,28.3371,5.1196,0.0077,86400.0,0
"2017-08-17",24.3488,22.4159,27.4330,2.7875,0.0075,49499.0,1
"2017-08-18",27.1404,23.4806,28.8999,1.8159,0.0072,34863.0,1
"2017-08-19",24.1309,18.3492,28.6484,9.0311,0.0102,86400.0,0
"2017-08-20",25.6050,19.9121,30.6124,10.1157,0.0108,86400.0,0
"2017-08-21",26.1286,21.0581,30.4733,8.2727,0.0098,86400.0,0
"2017-08-22",26.5809,21.7465,30.3855,7.3987,0.0093,86400.0,0
"2017-08-23",24.9572,21.8502,28.7362,3.5868,0.0064,86400.0,0
"2017-08-24",22.1016,18.0068,25.8345,4.9004,0.0075,86400.0,0
"2017-08-25",21.1352,18.0749,24.9933,4.7491,0.0074,86400.0,0
"2017-08-26",21.5389,17.8481,27.1129,8.4705,0.0099,86397.0,0
"2017-08-27",22.7399,18.2914,28.9501,10.3058,0.0109,86400.0,0
"2017-08-28",22.1184,19.7422,25.9171,2.1125,0.0049,86353.0,0
"2017-08-29",21.5638,17.2565,26.4961,8.1911,0.0097,86400.0,0
"2017-08-30",22.3660,18.0985,26.6311,4.4464,0.0072,86352.0,0
"2017-08-31",20.3140,19.2454,22.0720,0.7984,0.0030,86400.0,0
