date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2020-04-01",11.6391,6.2260,19.3173,18.6558,0.0147,86400.0,0
"2020-04-02",13.9013,7.6723,20.9021,17.9270,0.0144,86400.0,0
"2020-04-03",18.2098,12.6868,25.3299,13.8659,0.0127,86400.0,0
"2020-04-04",19.3597,13.6409,25.6078,13.4930,0.0125,86400.0,0
"2020-04-05",21.8307,16.6318,27.5956,10.4224,0.0110,86400.0,0
"2020-04-06",22.5591,16.0700,27.0153,8.8860,0.0101,86400.0,0
"2020-04-07",19.7699,16.5834,24.1772,4.1067,0.0069,86400.0,0
"2020-04-08",20.2877,16.8474,25.7833,7.3384,0.0092,86400.0,0
"2020-04-09",20.5411,16.7040,24.3885,2.9760,0.0059,86400.0,0
"2020-04-10",15.1042,11.1128,21.7927,6.4764,0.0087,85478.0,0
"2020-04-11",13.1890,6.3849,21.6400,21.7074,0.0159,85885.0,0
"2020-04-12",17.4888,12.0926,25.6899,15.5700,0.0134,86400.0,0
"2020-04-13",16.7999,12.2614,23.8525,10.2637,0.0111,83976.0,0
"2020-04-14",10.4876,6.2517,17.1274,11.5710,0.0116,86400.0,0
"2020-04-15",9.6721,3.6027,15.8207,15.8623,0.0135,86400.0,0
"2020-04-16",13.7446,7.7949,20.5005,13.4802,0.0125,86400.0,0
"2020-04-17",17.0531,10.3348,23.1951,15.1067,0.0132,86400.0,0
"2020-04-18",17.5720,12.4270,22.2104,7.0650,0.0090,86400.0,0
"2020-04-19",13.3733,10.2606,18.4893,3.7147,0.0066,86400.0,0
"2020-04-20",16.4571,13.9146,22.0426,7.5084,0.0093,86400.0,0
"2020-04-21",18.9809,13.3867,24.3924,11.6050,0.0116,86078.0,0
"2020-04-22",17.7997,12.8692,23.2689,7.7291,0.0095,86400.0,0
"2020-04-23",15.6317,12.0706,21.5408,7.4471,0.0093,86400.0,0
"2020-04-24",17.6702,12.5356,23.4247,11.3709,0.0115,86400.0,0
"2020-04-25",20.2639,15.4857,24.0150,4.7909,0.0074,86400.0,0
"2020-04-26",16.1318,10.8970,20.4746,8.8935,0.0101,86400.0,0
"2020-04-27",15.5064,10.3770,22.5964,14.6664,0.0130,86400.0,0
"2020-04-28",20.0517,14.1497,25.2537,10.8261,0.0112,86400.0,0
"2020-04-29",18.8967,15.8139,23.6731,3.1441,0.0060,86400.0,0
"2020-04-30",15.4852,11.2605,20.2060,6.9574,0.0090,86400.0,0
