date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2015-11-01",7.1512,-0.8050,16.9035,28.1806,0.0181,86400.0,0
"2015-11-02",9.8528,3.2821,14.7331,7.8666,0.0095,86400.0,0
"2015-11-03",5.7237,2.8400,10.1576,4.4569,0.0072,86400.0,0
"2015-11-04",4.9024,3.2572,6.6729,0.5959,0.0026,86400.0,0
"2015-11-05",1.2092,0.0282,3.2886,0.9555,0.0033,86400.0,0
"2015-11-06",1.3728,0.2726,3.5227,0.4923,0.0024,86400.0,0
"2015-11-07",0.7014,-3.8152,9.1186,18.0005,0.0144,86400.0,0
"2015-11-08",5.9417,1.2759,13.8949,14.6802,0.0130,86400.0,0
"2015-11-09",8.6000,3.1339,15.2560,8.8530,0.0101,86386.0,0
"2015-11-10",3.1903,-2.2347,7.1066,4.0826,0.0070,82887.0,0
"2015-11-11",0.6602,-0.3240,2.1526,0.4406,0.0023,86394.0,0
"2015-11-12",0.8684,-1.8612,4.2734,2.2460,0.0051,86400.0,0
"2015-11-13",0.5227,-6.1004,9.0360,19.8849,0.0152,86400.0,0
"2015-11-14",7.0870,2.9006,14.9112,15.1496,0.0132,86400.0,0
"2015-11-15",8.4367,1.9043,14.2237,10.3398,0.0109,86400.0,0
"2015-11-16",8.0182,3.6291,12.6419,6.4753,0.0087,86400.0,0
"2015-11-17",2.6905,-0.4407,10.2697,4.9424,0.0076,86400.0,0
"2015-11-18",-0.0831,-6.3348,6.9137,5.8798,0.0082,86400.0,0
"2015-11-19",-4.3360,-6.8508,-1.3899,2.5525,0.0054,86400.0,0
"2015-11-20",-6.8207,-11.8403,-2.7427,6.5753,0.0087,86400.0,0
"2015-11-21",-8.4272,-12.5717,-4.6707,4.3672,0.0071,86400.0,0
"2015-11-22",-3.2163,-10.0023,6.5550,31.5034,0.0191,86400.0,0
"2015-11-23",-0.2944,-4.5775,3.6707,4.7800,0.0075,84657.0,0
"2015-11-24",-1.1445,-4.8105,3.5818,5.7851,0.0082,86400.0,0
"2015-11-25",-2.1043,-4.7724,1.0151,1.2290,0.0038,86400.0,0
"2015-11-26",-9.3799,-13.0780,-4.7717,6.0550,0.0084,86400.0,0
"2015-11-27",-10.7083,-15.1588,-4.1076,9.3265,0.0104,86400.0,0
"2015-11-28",-6.5027,-10.8242,0.5642,11.8003,0.0117,86400.0,0
"2015-11-29",-2.6635,-7.6624,1.1829,4.6962,0.0074,86400.0,0
"2015-11-30",-1.3925,-4.0599,1.0113,1.5617,0.0043,86400.0,0
