date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2017-06-01",17.0163,8.1375,25.9782,26.6612,0.0176,86400.0,0
"2017-06-02",17.5543,9.4610,23.9366,14.2229,0.0128,86400.0,0
"2017-06-03",17.0130,10.1150,23.1921,17.0187,0.0140,86400.0,0
"2017-06-04",17.4545,9.8662,25.5815,22.4139,0.0161,86400.0,0
"2017-06-05",19.0834,10.8532,25.8526,25.0337,0.0170,86400.0,0
"2017-06-06",18.6067,13.0754,23.7850,9.3370,0.0104,86400.0,0
"2017-06-07",17.9470,11.3309,25.9763,19.2157,0.0155,80267.0,0
"2017-06-08",17.5395,9.7259,26.9575,30.1960,0.0187,86400.0,0
"2017-06-09",22.1573,11.8779,31.3630,37.5096,0.0208,86400.0,0
"2017-06-10",22.8598,13.5439,30.6662,13.6253,0.0126,86296.0,0
"2017-06-11",19.8813,14.2181,27.8488,11.6509,0.0116,86400.0,0
"2017-06-12",19.6516,15.7601,26.2355,7.8930,0.0096,86400.0,0
"2017-06-13",16.3797,8.5927,27.9510,29.0615,0.0183,86400.0,0
"2017-06-14",18.2391,10.3324,27.0483,25.4633,0.0172,86400.0,0
"2017-06-15",19.7834,9.7928,27.7541,27.3548,0.0178,86400.0,0
"2017-06-16",22.7601,13.0424,30.8115,23.1034,0.0164,86400.0,0
"2017-06-17",20.4901,14.0709,30.0518,14.3697,0.0129,86400.0,0
"2017-06-18",16.9409,9.8711,26.6771,20.7111,0.0155,86400.0,0
"2017-06-19",18.3717,10.5692,26.3831,22.6227,0.0162,86400.0,0
"2017-06-20",23.0289,10.8307,33.4598,47.4064,0.0234,86400.0,0
"2017-06-21",25.4768,16.4664,34.7858,35.1493,0.0202,86400.0,0
"2017-06-22",23.0889,17.2338,31.7901,10.1869,0.0109,86400.0,0
"2017-06-23",14.7371,8.4665,25.6003,24.9891,0.0197,64223.0,1
"2017-06-24",,,,-0.0000,,0.0,1
"2017-06-25",16.7436,13.9586,20.3803,4.2332,0.0118,30617.0,1
"2017-06-26",18.5758,10.0628,28.4473,33.9719,0.0198,86400.0,0
"2017-06-27",21.2254,10.0543,33.6741,51.7615,0.0245,86400.0,0
"2017-06-28",20.5344,11.2885,30.0123,26.4692,0.0175,86400.0,0
"2017-06-29",20.9061,12.0199,26.5971,13.5241,0.0125,86400.0,0
"2017-06-30",15.3089,10.4556,22.1582,13.9773,0.0127,86294.0,0
