date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2021-11-01",15.6203,10.0651,24.1311,18.1005,0.0145,86400.0,0
"2021-11-02",11.5404,9.0365,16.5024,5.0492,0.0076,86400.0,0
"2021-11-03",8.2127,7.0272,9.6358,0.3919,0.0021,86400.0,0
"2021-11-04",8.3903,6.8142,11.6712,2.3640,0.0052,86400.0,0
"2021-11-05",8.6192,3.8488,15.3473,14.8787,0.0131,86399.0,0
"2021-11-06",10.2372,3.6520,19.0844,24.7387,0.0169,86400.0,0
"2021-11-07",13.2984,5.3651,23.2825,35.1641,0.0202,86400.0,0
"2021-11-08",15.6111,10.4544,22.3377,12.0393,0.0118,86400.0,0
"2021-11-09",17.9049,13.8415,23.9760,9.5686,0.0106,85217.0,0
"2021-11-10",18.2828,16.1671,21.9436,3.0426,0.0059,86396.0,0
"2021-11-11",14.2342,8.8232,22.0328,10.6900,0.0111,86400.0,0
"2021-11-12",12.1919,6.0417,17.6715,10.3560,0.0109,86400.0,0
"2021-11-13",8.7760,0.1928,18.3485,31.8658,0.0192,86400.0,0
"2021-11-14",12.7592,4.1631,20.4733,21.2407,0.0157,86400.0,0
"2021-11-15",14.6736,4.3675,25.6241,40.9945,0.0218,86400.0,0
"2021-11-16",19.6334,12.9659,26.8274,16.8623,0.0140,86400.0,0
"2021-11-17",20.0375,15.6607,25.0910,4.7055,0.0074,86400.0,0
"2021-11-18",10.6839,5.9156,15.6601,6.9517,0.0090,86400.0,0
"2021-11-19",8.0121,1.0758,15.4021,19.2885,0.0149,86400.0,0
"2021-11-20",13.7683,7.4717,23.4122,26.2908,0.0174,86400.0,0
"2021-11-21",15.9639,13.6571,19.5921,1.7889,0.0046,86400.0,0
"2021-11-22",10.1591,2.7638,17.7713,23.2497,0.0164,86400.0,0
"2021-11-23",11.4345,2.6128,21.2412,38.7872,0.0212,86400.0,0
"2021-11-24",16.4614,12.7501,23.1424,12.1724,0.0119,86400.0,0
"2021-11-25",12.4106,4.6902,21.0801,26.4043,0.0175,86400.0,0
"2021-11-26",5.5358,-3.1652,15.2314,34.2361,0.0199,86400.0,0
"2021-11-27",7.2556,2.8074,12.2903,7.0493,0.0090,86400.0,0
"2021-11-28",11.3138,6.5342,17.7445,11.6244,0.0116,86400.0,0
"2021-11-29",11.2420,2.2176,22.5330,48.3227,0.0236,86400.0,0
"2021-11-30",14.4540,5.4921,24.4316,37.6845,0.0209,86400.0,0
