date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2021-01-01",-7.8522,-10.7554,-4.6920,2.1364,0.0053,75590.0,0
"2021-01-02",-8.3047,-12.0027,-4.3780,4.5293,0.0084,64756.0,1
"2021-01-03",-4.0683,-6.4363,-2.4399,1.0761,0.0039,71964.0,0
"2021-01-04",-3.7430,-7.0024,-1.1465,1.7294,0.0050,68334.0,1
"2021-01-05",-3.2588,-5.0611,-1.1514,0.6900,0.0030,75545.0,0
"2021-01-06",-6.0410,-8.0077,-3.0001,1.8073,0.0046,86400.0,0
"2021-01-07",-5.6614,-8.4873,-2.3338,2.7149,0.0056,86400.0,0
"2021-01-08",-5.9209,-8.7152,-3.3456,1.6766,0.0045,82774.0,0
"2021-01-09",-9.5266,-14.6661,-5.3011,6.8153,0.0115,51570.0,1
"2021-01-10",-11.7392,-15.6510,-6.5698,5.9871,0.0083,86400.0,0
"2021-01-11",-12.0235,-17.2243,-3.6424,12.7619,0.0122,86400.0,0
"2021-01-12",-6.4936,-11.8977,0.7365,11.5534,0.0116,86400.0,0
"2021-01-13",-2.1172,-4.5752,1.0953,1.8805,0.0047,86400.0,0
"2021-01-14",-6.5471,-10.5070,-2.4409,3.4719,0.0065,82761.0,0
"2021-01-15",-9.6838,-15.5059,-3.1988,12.1700,0.0119,86400.0,0
"2021-01-16",-5.4219,-9.1929,-3.1959,1.0770,0.0035,86400.0,0
"2021-01-17",-5.2047,-7.4903,-2.4174,1.9846,0.0049,82797.0,0
"2021-01-18",-5.8160,-8.4579,-2.8657,1.6423,0.0046,79196.0,0
"2021-01-19",-9.3038,-12.8124,-5.2759,4.4053,0.0077,75270.0,0
"2021-01-20",-7.5494,-11.2221,-3.9489,3.5749,0.0064,86400.0,0
"2021-01-21",-5.1632,-7.1614,-2.9842,1.2812,0.0042,71948.0,0
"2021-01-22",-6.4457,-9.4473,-2.7658,4.0880,0.0069,86400.0,0
"2021-01-23",-6.5523,-8.7434,-3.6748,2.4024,0.0081,36615.0,1
"2021-01-24",-12.6992,-18.2055,-7.0502,9.0953,0.0114,69390.0,1
"2021-01-25",-13.7267,-19.5080,-6.8636,11.8577,0.0117,86400.0,0
"2021-01-26",-10.9014,-14.3409,-5.5378,6.6883,0.0122,44670.0,1
"2021-01-27",-8.8095,-12.9606,-4.0098,6.7530,0.0088,86400.0,0
"2021-01-28",-4.2456,-6.8124,0.6620,6.0635,0.0086,82789.0,0
"2021-01-29",-1.1846,-2.1150,0.9833,0.4488,0.0023,86400.0,0
"2021-01-30",-2.4754,-4.1072,-0.8919,0.6233,0.0027,86400.0,0
"2021-01-31",-4.6746,-6.6831,-1.1119,1.6897,0.0045,82798.0,0
