date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2020-12-01",-12.3504,-14.2261,-5.1222,1.6563,0.0062,43680.0,1
"2020-12-02",-14.9341,-18.2140,-12.7043,1.0677,0.0046,49890.0,1
"2020-12-03",-9.1664,-14.3400,-3.3128,11.4181,0.0115,86400.0,0
"2020-12-04",-2.4190,-5.5462,0.7402,2.5485,0.0054,86400.0,0
"2020-12-05",-1.7804,-5.4672,1.9008,1.6268,0.0043,86400.0,0
"2020-12-06",-1.9057,-5.0258,0.0308,1.2171,0.0038,86400.0,0
"2020-12-07",0.4090,-2.5893,5.3565,4.1450,0.0069,86400.0,0
"2020-12-08",1.6076,-0.3991,3.5245,0.7399,0.0031,78626.0,0
"2020-12-09",0.9307,-1.3092,2.8966,0.5064,0.0026,74430.0,0
"2020-12-10",-3.6159,-7.6100,0.3381,7.0091,0.0091,84090.0,0
"2020-12-11",-10.5514,-13.3673,-7.6110,0.6813,0.0028,86400.0,0
"2020-12-12",-14.7330,-15.8575,-13.2080,0.2057,0.0019,55650.0,1
"2020-12-13",-14.4296,-18.3907,-8.4113,4.0668,0.0106,36342.0,1
"2020-12-14",-8.6435,-12.2821,-5.4407,3.5713,0.0102,34560.0,1
"2020-12-15",-15.2470,-17.1519,-10.9581,2.7563,0.0057,84000.0,0
"2020-12-16",-15.0105,-15.9155,-12.7842,0.8713,0.0137,4620.0,1
"2020-12-17",-11.7052,-13.3655,-5.1434,2.2694,0.0076,38940.0,1
"2020-12-18",-9.7700,-11.2501,-5.2981,1.9562,0.0057,59670.0,1
"2020-12-19",-12.2202,-14.9241,-10.9811,0.5834,0.0067,12990.0,1
"2020-12-20",-7.9173,-12.7352,-6.9353,2.2755,0.0466,1050.0,1
"2020-12-21",-5.6207,-6.7508,-4.1465,0.4113,0.0029,48390.0,1
"2020-12-22",-3.0887,-6.7960,-0.9406,1.3329,0.0050,52740.0,1
"2020-12-23",-18.5819,-21.6218,-6.4105,16.4054,0.0150,73261.0,0
"2020-12-24",-12.8222,-22.0965,-6.7412,21.5444,0.0210,49020.0,1
"2020-12-25",-4.2283,-9.7962,-0.2144,4.7259,0.0075,82980.0,0
"2020-12-26",-3.3062,-6.4402,-1.5155,1.6651,0.0063,42510.0,1
"2020-12-27",-11.3859,-13.7001,-4.0323,5.9878,0.0084,85050.0,0
"2020-12-28",-13.5414,-15.6818,-11.6587,0.5200,0.0037,37290.0,1
"2020-12-29",-12.5681,-15.8153,-8.8661,4.0149,0.0099,40860.0,1
"2020-12-30",-14.8552,-18.3283,-10.6367,5.7223,0.0090,71370.0,1
"2020-12-31",-7.4035,-12.7976,-4.7538,2.8576,0.0073,53730.0,1
