date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2018-03-01",7.5314,0.9553,18.6065,23.5650,0.0165,86395.0,0
"2018-03-02",12.0472,5.6537,24.0285,25.7587,0.0189,71962.0,0
"2018-03-03",15.1414,7.6421,23.5997,24.8130,0.0169,86400.0,0
"2018-03-04",13.6149,6.1967,21.1742,11.5113,0.0115,86400.0,0
"2018-03-05",10.8705,3.5910,18.5075,20.9785,0.0156,86400.0,0
"2018-03-06",13.2437,6.1405,23.9688,28.7162,0.0182,86400.0,0
"2018-03-07",16.4546,7.5140,25.6511,23.8213,0.0166,86400.0,0
"2018-03-08",17.1967,11.4382,23.6994,14.4854,0.0129,86400.0,0
"2018-03-09",17.3439,10.9604,24.1162,14.9102,0.0131,86400.0,0
"2018-03-10",17.4149,10.0122,23.4034,11.0458,0.0113,86400.0,0
"2018-03-11",15.4243,12.3956,21.7244,7.1629,0.0091,86400.0,0
"2018-03-12",16.7634,11.4960,24.6906,12.4377,0.0131,71990.0,0
"2018-03-13",17.9995,11.6093,26.6321,11.4907,0.0128,70012.0,0
"2018-03-14",18.1381,13.3282,25.9504,12.4177,0.0137,66128.0,1
"2018-03-15",15.4515,9.6848,24.0373,15.7074,0.0164,58485.0,1
"2018-03-16",13.7238,7.5426,21.5360,18.0978,0.0145,86161.0,0
"2018-03-17",14.3521,6.7684,20.5616,13.2297,0.0124,86400.0,0
"2018-03-18",11.4738,5.2771,19.3204,10.3000,0.0109,86400.0,0
"2018-03-19",10.5665,4.1142,18.3533,17.8436,0.0144,86354.0,0
"2018-03-20",13.8722,5.2578,24.1157,30.1838,0.0187,86400.0,0
"2018-03-21",17.8020,10.9399,26.4288,23.4146,0.0165,86380.0,0
"2018-03-22",21.2262,14.1683,30.8192,25.3007,0.0171,86400.0,0
"2018-03-23",20.5761,13.8609,29.3348,13.4462,0.0125,86352.0,0
"2018-03-24",19.3417,13.4297,25.6881,8.2867,0.0098,86400.0,0
"2018-03-25",17.0437,8.9318,23.8173,16.9069,0.0140,86287.0,0
"2018-03-26",16.1113,11.4242,21.2933,7.1177,0.0091,86289.0,0
"2018-03-27",12.2272,5.4748,18.6713,12.5256,0.0120,86300.0,0
"2018-03-28",12.9417,7.0191,20.6729,15.5119,0.0137,82979.0,0
"2018-03-29",16.3388,8.1159,24.8564,23.8844,0.0166,86400.0,0
"2018-03-30",19.3744,11.9477,27.1186,21.2942,0.0157,86400.0,0
"2018-03-31",20.8809,12.8186,29.6077,22.9322,0.0163,86400.0,0
