date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2015-11-01",13.6073,6.1565,20.6401,16.2467,0.0137,86400.0,0
"2015-11-02",12.8768,5.4139,19.9385,16.0349,0.0136,86400.0,0
"2015-11-03",11.3242,3.6393,17.8803,16.8352,0.0140,86400.0,0
"2015-11-04",0.9901,-0.7657,5.0186,2.1775,0.0051,83795.0,0
"2015-11-05",0.5015,-4.8607,4.0826,4.6965,0.0074,86400.0,0
"2015-11-06",1.4717,-3.3057,4.7014,3.7391,0.0066,86400.0,0
"2015-11-07",0.7107,-6.3254,9.2477,15.8548,0.0135,86400.0,0
"2015-11-08",3.8670,-4.6788,12.6228,19.5289,0.0150,86400.0,0
"2015-11-09",8.7925,1.5421,13.7938,6.6128,0.0087,86400.0,0
"2015-11-10",0.3094,-1.0428,6.3506,2.2710,0.0051,86147.0,0
"2015-11-11",0.4103,-2.3807,4.1805,2.6162,0.0055,86400.0,0
"2015-11-12",-0.5268,-7.8449,6.9985,13.5963,0.0125,86400.0,0
"2015-11-13",1.0092,-5.3449,8.8394,16.4092,0.0138,86400.0,0
"2015-11-14",3.6319,-4.2201,12.2411,19.1174,0.0149,86400.0,0
"2015-11-15",6.5922,-0.5868,12.5561,9.6080,0.0105,86400.0,0
"2015-11-16",2.2080,-1.7422,10.0727,11.0043,0.0116,81541.0,0
"2015-11-17",-2.7181,-10.0177,0.4776,6.0801,0.0085,84685.0,0
"2015-11-18",-0.0382,-8.3683,9.6004,21.4048,0.0157,86400.0,0
"2015-11-19",2.5959,-4.2240,12.5734,20.0129,0.0152,86400.0,0
"2015-11-20",5.7829,0.0736,10.4118,4.7569,0.0074,86400.0,0
"2015-11-21",-1.8549,-8.3793,4.8874,10.1665,0.0108,86400.0,0
"2015-11-22",-0.6733,-9.0294,7.2311,17.5314,0.0142,86400.0,0
"2015-11-23",2.4125,-6.0281,10.4368,15.0795,0.0132,86400.0,0
"2015-11-24",5.9965,-2.3147,11.0032,7.8698,0.0095,86400.0,0
"2015-11-25",5.8714,-1.9594,11.1779,8.9039,0.0102,86400.0,0
"2015-11-26",-4.1735,-11.4864,0.1016,7.4026,0.0093,86400.0,0
"2015-11-27",-4.8638,-11.5896,-1.8146,4.3035,0.0071,86400.0,0
"2015-11-28",-6.7667,-11.3763,-3.7139,2.9032,0.0058,86400.0,0
"2015-11-29",-7.8984,-12.2432,-4.4183,3.0084,0.0059,86400.0,0
"2015-11-30",-8.4163,-15.2900,-0.4376,13.6101,0.0126,86400.0,0
