date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2021-01-01",3.6133,2.2433,6.7526,0.5202,0.0025,86400.0,0
"2021-01-02",6.1042,3.7534,8.5873,1.3564,0.0040,86400.0,0
"2021-01-03",6.6368,3.6987,9.3894,2.5915,0.0057,80756.0,0
"2021-01-04",4.7824,3.8869,7.5229,0.5785,0.0026,86400.0,0
"2021-01-05",3.9013,2.7988,5.8095,0.3642,0.0021,86400.0,0
"2021-01-06",4.8793,3.3068,8.1704,1.0266,0.0034,86400.0,0
"2021-01-07",4.8173,3.8459,7.4477,0.6942,0.0028,86400.0,0
"2021-01-08",4.6350,1.7106,7.3732,1.6268,0.0043,86400.0,0
"2021-01-09",1.8650,-1.0530,4.6840,2.7982,0.0066,63930.0,1
"2021-01-10",2.4947,1.4458,3.8500,0.3989,0.0021,86400.0,0
"2021-01-11",2.9589,1.9121,4.2570,0.3744,0.0021,86400.0,0
"2021-01-12",4.9518,3.1486,10.7741,5.9245,0.0083,86400.0,0
"2021-01-13",9.2246,4.6445,15.0502,10.9367,0.0135,60248.0,1
"2021-01-14",3.6313,0.5449,8.4033,5.4954,0.0080,86400.0,0
"2021-01-15",4.8921,2.9052,10.5127,5.1336,0.0077,86400.0,0
"2021-01-16",2.8907,-0.9722,9.4729,8.4544,0.0099,86400.0,0
"2021-01-17",5.6389,2.8819,9.6005,4.4824,0.0072,86400.0,0
"2021-01-18",2.7036,-1.4462,9.0577,10.5138,0.0110,86400.0,0
"2021-01-19",2.4223,-1.4265,7.9611,7.7936,0.0095,86400.0,0
"2021-01-20",0.9785,-1.9463,6.6477,5.7339,0.0081,86400.0,0
"2021-01-21",2.9723,1.9734,5.1536,0.8157,0.0031,86291.0,0
"2021-01-22",1.9057,0.2297,4.0142,0.6849,0.0028,86400.0,0
"2021-01-23",0.0101,-3.0778,5.9290,6.9099,0.0089,86400.0,0
"2021-01-24",0.8713,-0.8347,4.7503,0.7821,0.0030,86400.0,0
"2021-01-25",0.2456,-0.7867,3.2855,0.9612,0.0033,86400.0,0
"2021-01-26",-0.0696,-1.1391,2.3983,0.3433,0.0020,86400.0,0
"2021-01-27",0.0106,-0.7616,1.4788,0.3293,0.0020,86400.0,0
"2021-01-28",0.9780,-0.1908,4.4492,1.7995,0.0046,86400.0,0
"2021-01-29",1.9283,-0.6648,5.0886,2.0078,0.0048,86400.0,0
"2021-01-30",1.2825,-0.0414,4.3676,1.0067,0.0034,86400.0,0
"2021-01-31",2.9682,1.4432,6.4580,1.9133,0.0047,86400.0,0
