date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2020-04-01",14.9922,11.9801,19.0734,2.7796,0.0057,86400.0,0
"2020-04-02",10.7434,6.7112,15.6656,6.1411,0.0084,86400.0,0
"2020-04-03",11.9186,8.3236,16.1838,4.0329,0.0068,86400.0,0
"2020-04-04",12.2038,9.0134,15.9512,3.0853,0.0060,86400.0,0
"2020-04-05",11.2849,9.1318,14.6341,1.9764,0.0048,86400.0,0
"2020-04-06",8.2501,3.5311,12.2698,5.0545,0.0076,86400.0,0
"2020-04-07",9.7655,6.9151,15.4416,4.7775,0.0074,86305.0,0
"2020-04-08",10.6736,8.5642,15.0838,2.6117,0.0055,86400.0,0
"2020-04-09",8.9705,6.7863,12.8407,3.4905,0.0064,86400.0,0
"2020-04-10",11.3413,6.9811,15.5070,3.6569,0.0065,85497.0,0
"2020-04-11",13.6275,10.6966,17.0533,2.3157,0.0052,86400.0,0
"2020-04-12",15.9824,13.4894,18.4464,1.0809,0.0035,86400.0,0
"2020-04-13",13.6379,9.9653,18.2318,5.6698,0.0081,86400.0,0
"2020-04-14",15.8791,12.9524,20.1644,3.1552,0.0060,86400.0,0
"2020-04-15",17.3263,13.4696,22.0722,5.4339,0.0079,86400.0,0
"2020-04-16",19.0187,15.4411,22.5445,4.4867,0.0072,86400.0,0
"2020-04-17",16.9845,11.2753,22.6470,7.5913,0.0094,86400.0,0
"2020-04-18",13.1350,10.3964,17.6181,3.2294,0.0061,86400.0,0
"2020-04-19",14.3597,11.3040,19.1029,3.5540,0.0064,86400.0,0
"2020-04-20",13.8637,9.9251,18.7272,4.0664,0.0069,86400.0,0
"2020-04-21",12.4441,8.5736,17.8439,5.8674,0.0082,86400.0,0
"2020-04-22",16.7967,13.4329,22.8252,5.2893,0.0078,86400.0,0
"2020-04-23",19.8481,15.7775,24.8075,4.9282,0.0076,86400.0,0
"2020-04-24",21.2204,17.6677,26.3693,4.8580,0.0075,86400.0,0
"2020-04-25",23.2514,18.4893,27.9216,5.6968,0.0081,86400.0,0
"2020-04-26",23.3440,19.6815,27.9493,4.6200,0.0073,86400.0,0
"2020-04-27",21.3448,15.3120,26.8243,8.1289,0.0097,86400.0,0
"2020-04-28",22.4430,18.3408,29.0578,6.9667,0.0090,86400.0,0
"2020-04-29",24.8740,21.5668,29.1417,4.2476,0.0070,86400.0,0
"2020-04-30",21.3587,15.8586,26.4632,9.3053,0.0104,86400.0,0
