date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2019-07-01",8.6942,4.6091,20.3824,14.6113,0.0130,86400.0,0
"2019-07-02",10.6709,5.6299,17.6294,8.0263,0.0096,86400.0,0
"2019-07-03",14.4773,12.0996,17.9623,2.7114,0.0056,86400.0,0
"2019-07-04",11.3195,8.2540,17.0017,4.8154,0.0075,86400.0,0
"2019-07-05",13.1559,9.3009,17.4606,5.7133,0.0081,86400.0,0
"2019-07-06",12.7979,10.4448,17.3923,2.4309,0.0053,86400.0,0
"2019-07-07",16.4145,12.8701,19.8911,2.6241,0.0055,86400.0,0
"2019-07-08",16.2836,12.8159,20.9699,4.1776,0.0070,86400.0,0
"2019-07-09",18.0653,13.2004,22.2522,4.9276,0.0076,86400.0,0
"2019-07-10",14.7061,10.0354,22.0034,12.8538,0.0122,86344.0,0
"2019-07-11",9.8836,5.7344,15.2383,7.1014,0.0091,86400.0,0
"2019-07-12",10.0846,3.8255,17.5844,12.1784,0.0119,86400.0,0
"2019-07-13",15.9344,11.4392,20.2091,4.0019,0.0068,86400.0,0
"2019-07-14",14.7559,12.5108,19.6588,2.8011,0.0057,86400.0,0
"2019-07-15",14.8056,12.0626,17.1408,1.0987,0.0036,86400.0,0
"2019-07-16",14.8313,10.4687,20.1419,4.6293,0.0073,86400.0,0
"2019-07-17",13.9732,9.7884,20.5011,12.0442,0.0193,32333.0,1
"2019-07-18",12.4192,7.0019,16.5225,9.9446,0.0144,48134.0,1
"2019-07-19",10.0214,7.7922,14.4385,2.8013,0.0057,86400.0,0
"2019-07-20",8.6093,2.9711,13.5279,7.1134,0.0093,82920.0,0
"2019-07-21",8.1589,3.0020,13.3397,10.0356,0.0110,83215.0,0
"2019-07-22",13.7999,9.8115,20.1361,5.8449,0.0082,86400.0,0
"2019-07-23",15.1886,10.1443,20.6023,10.0037,0.0108,86400.0,0
"2019-07-24",17.2976,13.2163,22.4067,5.4626,0.0082,81614.0,0
"2019-07-25",,,,-0.0000,,0.0,1
"2019-07-26",13.8716,12.4601,15.5289,0.3735,0.0023,68657.0,1
"2019-07-27",11.7113,9.2733,14.9012,3.3639,0.0062,86400.0,0
"2019-07-28",8.3402,6.9782,10.1441,0.8342,0.0031,86400.0,0
"2019-07-29",8.3528,7.0823,11.7785,1.0679,0.0035,86400.0,0
"2019-07-30",11.6614,8.9934,15.2029,2.1210,0.0050,86400.0,0
"2019-07-31",12.9563,10.3748,15.2785,1.6420,0.0044,86400.0,0
