date,wssTempTripleMean,wssTempTripleMinimum,wssTempTripleMaximum,wssTempTripleVariance,wssTempTripleStdErMean,wssTempTripleNumPts,tempTripleQF
"2019-02-01",-18.4800,-24.0956,-12.7567,13.5816,0.0125,86400.0,0
"2019-02-02",-20.5881,-26.3499,-12.9762,20.2952,0.0153,86400.0,0
"2019-02-03",-18.1219,-24.3037,-11.6973,12.1938,0.0119,86400.0,0
"2019-02-04",-12.0013,-13.3211,-10.8430,0.4488,0.0026,64800.0,1
"2019-02-05",-11.2201,-13.8370,-8.9659,1.0967,0.0050,43980.0,1
"2019-02-06",-8.8888,-9.2647,-8.5133,0.0415,0.0017,15060.0,1
"2019-02-07",-10.5998,-13.5355,-6.3058,3.4431,0.0088,44790.0,1
"2019-02-08",-7.8314,-10.9719,-5.1177,1.2035,0.0037,86400.0,0
"2019-02-09",-5.5003,-9.3205,-3.8106,1.1351,0.0036,86400.0,0
"2019-02-10",-12.2854,-16.5082,-5.7429,4.1577,0.0069,86400.0,0
"2019-02-11",-7.4769,-10.4359,-4.9319,1.4334,0.0041,86400.0,0
"2019-02-12",-4.2459,-6.2034,-1.2235,2.8372,0.0057,86400.0,0
"2019-02-13",-8.6124,-14.2575,-2.8633,9.9642,0.0107,86400.0,0
"2019-02-14",-16.3883,-18.4107,-14.1702,1.5609,0.0043,86400.0,0
"2019-02-15",-21.5149,-26.7190,-14.2749,8.3229,0.0098,86400.0,0
"2019-02-16",-21.0671,-24.9216,-12.9544,7.0137,0.0090,86400.0,0
"2019-02-17",-11.2996,-15.4449,-2.4757,10.5632,0.0111,86400.0,0
"2019-02-18",-5.5761,-6.8211,-2.0301,1.0664,0.0035,86400.0,0
"2019-02-19",-7.6966,-9.6645,-4.4016,1.3869,0.0040,86400.0,0
"2019-02-20",-13.5441,-19.6934,-7.8017,11.7777,0.0117,86400.0,0
"2019-02-21",-14.8105,-21.5617,-7.5933,18.8114,0.0148,86400.0,0
"2019-02-22",-21.4428,-27.7731,-9.1954,21.3954,0.0157,86386.0,0
"2019-02-23",-17.4897,-23.4498,-8.3739,15.6381,0.0135,86400.0,0
"2019-02-24",-13.1564,-17.8784,-5.4495,9.5486,0.0105,86400.0,0
"2019-02-25",-11.7032,-16.5936,-2.5650,14.1206,0.0128,86400.0,0
"2019-02-26",-9.9910,-16.3777,-1.7465,14.9745,0.0132,86400.0,0
"2019-02-27",-11.9112,-18.6473,-2.0856,20.2920,0.0153,86400.0,0
"2019-02-28",-12.5997,-19.1641,-2.9197,19.8863,0.0152,86400.0,0
