date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2018-03-01",0.99,0.00,4.55,0.30,0.00,86371.0,0
"2018-03-02",2.07,0.00,9.68,2.95,0.01,86373.0,0
"2018-03-03",4.69,0.32,11.84,2.94,0.01,86377.0,0
"2018-03-04",4.13,0.16,10.86,1.74,0.00,86372.0,0
"2018-03-05",3.70,0.17,9.87,1.48,0.00,86368.0,0
"2018-03-06",2.71,0.02,10.23,1.82,0.00,86376.0,0
"2018-03-07",2.01,0.00,8.30,1.21,0.00,86369.0,0
"2018-03-08",1.05,0.00,6.21,0.66,0.00,85614.0,0
"2018-03-09",1.45,0.00,6.76,0.49,0.00,82786.0,0
"2018-03-10",1.53,0.00,6.36,0.73,0.00,86375.0,0
"2018-03-11",2.19,0.01,7.85,0.95,0.00,86380.0,0
"2018-03-12",1.54,0.00,4.75,0.40,0.00,86368.0,0
"2018-03-13",0.83,0.00,4.47,0.28,0.00,55979.0,1
"2018-03-14",,,,-0.00,,0.0,1
"2018-03-15",,,,-0.00,,0.0,1
"2018-03-16",,,,-0.00,,0.0,1
"2018-03-17",,,,-0.00,,0.0,1
"2018-03-18",,,,-0.00,,0.0,1
"2018-03-19",,,,-0.00,,0.0,1
"2018-03-20",,,,-0.00,,0.0,1
"2018-03-21",,,,-0.00,,0.0,1
"2018-03-22",,,,-0.00,,0.0,1
"2018-03-23",,,,-0.00,,0.0,1
"2018-03-24",,,,-0.00,,0.0,1
"2018-03-25",,,,-0.00,,0.0,1
"2018-03-26",,,,-0.00,,0.0,1
"2018-03-27",,,,-0.00,,0.0,1
"2018-03-28",,,,-0.00,,0.0,1
"2018-03-29",,,,-0.00,,0.0,1
"2018-03-30",,,,-0.00,,0.0,1
"2018-03-31",,,,-0.00,,0.0,1
