date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2018-01-01",0.84,0.00,3.54,0.13,0.00,86375.0,0
"2018-01-02",1.42,0.00,6.00,0.74,0.00,86373.0,0
"2018-01-03",1.50,0.00,6.41,0.64,0.00,86261.0,0
"2018-01-04",1.03,0.00,5.54,0.46,0.00,86372.0,0
"2018-01-05",0.62,0.00,2.29,0.09,0.00,86372.0,0
"2018-01-06",0.62,0.00,3.42,0.15,0.00,86373.0,0
"2018-01-07",1.70,0.00,9.87,1.21,0.00,86375.0,0
"2018-01-08",0.63,0.00,2.68,0.09,0.00,86375.0,0
"2018-01-09",1.31,0.00,5.03,0.61,0.00,86373.0,0
"2018-01-10",0.82,0.00,4.64,0.23,0.00,86265.0,0
"2018-01-11",2.86,0.00,10.19,2.13,0.00,85850.0,0
"2018-01-12",1.68,0.00,8.05,1.67,0.00,86267.0,0
"2018-01-13",1.27,0.00,6.36,0.76,0.00,86372.0,0
"2018-01-14",1.23,0.00,8.74,0.84,0.00,86374.0,0
"2018-01-15",3.21,0.00,9.91,3.67,0.01,86372.0,0
"2018-01-16",0.94,0.00,4.53,0.40,0.00,86367.0,0
"2018-01-17",1.34,0.00,7.16,1.45,0.00,86372.0,0
"2018-01-18",0.72,0.00,3.19,0.18,0.00,86374.0,0
"2018-01-19",0.52,0.00,3.22,0.09,0.00,86375.0,0
"2018-01-20",1.85,0.00,7.56,2.18,0.01,86377.0,0
"2018-01-21",2.77,0.07,9.88,2.17,0.01,86377.0,0
"2018-01-22",3.19,0.67,8.20,0.97,0.00,86373.0,0
"2018-01-23",2.33,0.04,6.95,1.08,0.00,86052.0,0
"2018-01-24",0.73,0.00,3.81,0.21,0.00,85142.0,0
"2018-01-25",0.66,0.00,3.03,0.13,0.00,86378.0,0
"2018-01-26",2.41,0.00,8.62,1.39,0.00,86375.0,0
"2018-01-27",0.84,0.00,3.68,0.32,0.00,86372.0,0
"2018-01-28",2.10,0.00,10.75,3.76,0.01,86368.0,0
"2018-01-29",0.89,0.00,5.23,0.47,0.00,86380.0,0
"2018-01-30",1.05,0.00,6.77,0.79,0.00,86371.0,0
"2018-01-31",1.74,0.00,10.20,2.15,0.00,86377.0,0
