date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2020-03-01",1.19,0.00,5.42,0.37,0.00,86369.0,0
"2020-03-02",1.51,0.00,10.14,1.19,0.00,86364.0,0
"2020-03-03",1.66,0.00,9.11,0.82,0.00,86375.0,0
"2020-03-04",1.51,0.00,7.64,0.64,0.00,86368.0,0
"2020-03-05",1.02,0.00,5.91,0.42,0.00,86373.0,0
"2020-03-06",1.59,0.00,7.30,0.69,0.00,86369.0,0
"2020-03-07",1.77,0.00,7.98,0.70,0.00,86372.0,0
"2020-03-08",0.92,0.00,6.36,0.51,0.00,86367.0,0
"2020-03-09",1.09,0.00,5.49,0.45,0.00,86369.0,0
"2020-03-10",1.86,0.00,9.35,1.08,0.00,86369.0,0
"2020-03-11",0.89,0.00,5.62,0.28,0.00,86370.0,0
"2020-03-12",1.09,0.00,7.27,0.91,0.00,86371.0,0
"2020-03-13",1.49,0.00,8.24,0.81,0.00,86373.0,0
"2020-03-14",1.19,0.00,5.97,0.40,0.00,86365.0,0
"2020-03-15",0.68,0.00,2.87,0.12,0.00,86372.0,0
"2020-03-16",0.70,0.00,5.79,0.39,0.00,86366.0,0
"2020-03-17",1.41,0.00,7.42,0.64,0.00,86369.0,0
"2020-03-18",1.03,0.00,7.38,0.53,0.00,86374.0,0
"2020-03-19",1.20,0.00,7.38,0.63,0.00,86375.0,0
"2020-03-20",2.20,0.00,10.74,1.42,0.00,86369.0,0
"2020-03-21",1.35,0.00,5.77,0.41,0.00,86369.0,0
"2020-03-22",0.96,0.00,4.80,0.35,0.00,86369.0,0
"2020-03-23",0.84,0.00,6.92,0.36,0.00,86368.0,0
"2020-03-24",0.80,0.00,4.25,0.26,0.00,86371.0,0
"2020-03-25",0.95,0.00,6.35,0.29,0.00,86369.0,0
"2020-03-26",1.10,0.00,8.30,1.08,0.00,86368.0,0
"2020-03-27",1.03,0.00,6.91,0.51,0.00,86372.0,0
"2020-03-28",1.66,0.00,8.74,0.87,0.00,86371.0,0
"2020-03-29",1.37,0.00,8.84,1.24,0.00,86367.0,0
"2020-03-30",1.27,0.00,7.41,0.68,0.00,86370.0,0
"2020-03-31",0.81,0.00,3.77,0.21,0.00,86370.0,0
