date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2016-08-01",0.40,0.00,2.15,0.08,0.00,86371.0,0
"2016-08-02",0.39,0.00,2.58,0.05,0.00,86374.0,0
"2016-08-03",0.29,0.00,1.45,0.03,0.00,86374.0,0
"2016-08-04",0.58,0.00,4.69,0.13,0.00,86379.0,0
"2016-08-05",0.47,0.00,3.32,0.07,0.00,86381.0,0
"2016-08-06",0.44,0.00,3.03,0.06,0.00,86368.0,0
"2016-08-07",0.31,0.00,1.56,0.04,0.00,86371.0,0
"2016-08-08",0.35,0.00,2.10,0.06,0.00,86371.0,0
"2016-08-09",0.55,0.00,2.84,0.08,0.00,86376.0,0
"2016-08-10",0.40,0.00,2.15,0.06,0.00,86374.0,0
"2016-08-11",0.51,0.00,2.54,0.07,0.00,86372.0,0
"2016-08-12",0.40,0.00,2.21,0.04,0.00,86374.0,0
"2016-08-13",0.40,0.00,2.63,0.05,0.00,86367.0,0
"2016-08-14",0.28,0.00,2.99,0.05,0.00,86380.0,0
"2016-08-15",0.35,0.00,1.47,0.03,0.00,86373.0,0
"2016-08-16",0.32,0.00,2.20,0.03,0.00,86374.0,0
"2016-08-17",0.30,0.00,1.81,0.04,0.00,86264.0,0
"2016-08-18",0.37,0.00,2.03,0.06,0.00,86376.0,0
"2016-08-19",0.28,0.00,2.26,0.03,0.00,86372.0,0
"2016-08-20",0.39,0.00,2.10,0.05,0.00,86371.0,0
"2016-08-21",0.45,0.00,3.13,0.07,0.00,86371.0,0
"2016-08-22",0.50,0.00,3.26,0.13,0.00,86378.0,0
"2016-08-23",0.69,0.00,2.57,0.08,0.00,71542.0,0
"2016-08-24",0.33,0.00,1.52,0.04,0.00,31132.0,1
"2016-08-25",0.43,0.00,2.89,0.07,0.00,86302.0,0
"2016-08-26",0.34,0.00,1.76,0.04,0.00,55998.0,1
"2016-08-27",,,,-0.00,,0.0,1
"2016-08-28",,,,-0.00,,0.0,1
"2016-08-29",,,,-0.00,,0.0,1
"2016-08-30",,,,-0.00,,0.0,1
"2016-08-31",,,,-0.00,,0.0,1
