date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2016-02-01",1.73,0.01,5.79,0.40,0.00,86372.0,0
"2016-02-02",1.82,0.01,7.73,0.72,0.00,86377.0,0
"2016-02-03",1.81,0.00,13.42,1.34,0.00,86367.0,0
"2016-02-04",2.28,0.04,7.79,0.81,0.00,86373.0,0
"2016-02-05",1.50,0.01,5.32,0.34,0.00,79198.0,0
"2016-02-06",0.77,0.00,5.31,0.45,0.00,86376.0,0
"2016-02-07",1.34,0.00,4.39,0.23,0.00,86370.0,0
"2016-02-08",1.99,0.00,9.69,1.03,0.00,86375.0,0
"2016-02-09",2.33,0.01,9.50,1.17,0.00,86370.0,0
"2016-02-10",1.60,0.00,7.01,0.79,0.00,86375.0,0
"2016-02-11",1.13,0.00,4.41,0.26,0.00,86371.0,0
"2016-02-12",1.26,0.00,8.71,1.28,0.00,86373.0,0
"2016-02-13",2.02,0.02,8.10,0.70,0.00,80897.0,0
"2016-02-14",1.22,0.00,5.70,0.67,0.00,86369.0,0
"2016-02-15",2.18,0.00,9.22,0.62,0.00,86369.0,0
"2016-02-16",1.66,0.01,7.90,0.82,0.00,86372.0,0
"2016-02-17",1.67,0.00,6.09,0.52,0.00,86376.0,0
"2016-02-18",0.80,0.00,3.38,0.19,0.00,86375.0,0
"2016-02-19",2.00,0.01,7.55,0.60,0.00,86361.0,0
"2016-02-20",1.89,0.01,5.43,0.42,0.00,86376.0,0
"2016-02-21",1.60,0.00,5.28,0.38,0.00,86375.0,0
"2016-02-22",0.95,0.00,2.94,0.16,0.00,86370.0,0
"2016-02-23",1.14,0.00,7.85,0.50,0.00,86370.0,0
"2016-02-24",2.69,0.01,14.67,1.20,0.00,86374.0,0
"2016-02-25",2.07,0.00,9.17,0.98,0.00,86371.0,0
"2016-02-26",1.80,0.01,7.16,0.50,0.00,86370.0,0
"2016-02-27",1.20,0.00,3.94,0.28,0.00,86372.0,0
"2016-02-28",1.74,0.01,7.18,0.58,0.00,86370.0,0
"2016-02-29",1.73,0.00,4.99,0.46,0.00,86369.0,0
