date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2021-03-01",3.41,0.06,12.64,5.36,0.01,86366.0,0
"2021-03-02",5.89,1.54,12.78,2.23,0.01,86373.0,0
"2021-03-03",3.30,0.00,8.20,2.47,0.01,86368.0,0
"2021-03-04",1.90,0.02,5.57,0.83,0.00,86371.0,0
"2021-03-05",2.29,0.01,8.49,2.68,0.01,86368.0,0
"2021-03-06",4.22,0.69,15.32,6.56,0.01,86371.0,0
"2021-03-07",6.56,1.49,14.77,3.86,0.01,86366.0,0
"2021-03-08",3.41,0.03,10.29,3.20,0.01,86369.0,0
"2021-03-09",4.36,0.10,13.85,4.84,0.01,86368.0,0
"2021-03-10",5.66,0.76,12.78,2.72,0.01,86369.0,0
"2021-03-11",5.49,1.68,13.48,2.63,0.01,86377.0,0
"2021-03-12",3.01,0.05,9.33,2.79,0.01,84662.0,0
"2021-03-13",2.99,0.00,7.04,1.48,0.00,86368.0,0
"2021-03-14",3.61,0.04,11.06,4.95,0.01,86370.0,0
"2021-03-15",4.57,1.07,11.00,2.78,0.01,86373.0,0
"2021-03-16",2.23,0.13,8.38,1.19,0.00,86371.0,0
"2021-03-17",2.38,0.15,7.60,1.30,0.00,85618.0,0
"2021-03-18",2.10,0.00,8.50,2.11,0.00,86368.0,0
"2021-03-19",5.15,1.20,14.42,5.90,0.01,86363.0,0
"2021-03-20",4.70,0.82,12.70,3.01,0.01,86368.0,0
"2021-03-21",4.40,0.71,13.49,2.90,0.01,86371.0,0
"2021-03-22",3.99,0.22,10.95,3.55,0.01,86366.0,0
"2021-03-23",2.89,0.01,12.52,2.97,0.01,86212.0,0
"2021-03-24",6.23,0.01,14.76,5.48,0.01,86367.0,0
"2021-03-25",4.35,0.02,14.71,10.09,0.01,86375.0,0
"2021-03-26",4.36,0.16,13.28,3.05,0.01,86369.0,0
"2021-03-27",4.00,0.21,15.20,8.34,0.01,86373.0,0
"2021-03-28",3.95,0.05,15.18,8.02,0.01,86370.0,0
"2021-03-29",6.36,1.19,21.63,12.30,0.01,86367.0,0
"2021-03-30",12.28,4.97,25.01,6.26,0.01,86368.0,0
"2021-03-31",5.47,0.02,16.10,5.21,0.01,86374.0,0
