date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2020-03-01",1.15,0.00,9.76,0.73,0.00,86369.0,0
"2020-03-02",1.41,0.00,9.78,1.03,0.00,86370.0,0
"2020-03-03",1.94,0.00,10.69,0.97,0.00,68379.0,1
"2020-03-04",2.29,0.01,13.77,1.97,0.00,86378.0,0
"2020-03-05",1.14,0.00,11.29,0.96,0.00,86369.0,0
"2020-03-06",0.93,0.00,7.41,0.46,0.00,86378.0,0
"2020-03-07",1.09,0.00,9.05,0.77,0.00,86368.0,0
"2020-03-08",1.17,0.00,8.70,0.65,0.00,82773.0,0
"2020-03-09",1.23,0.00,10.43,0.99,0.00,82769.0,0
"2020-03-10",1.51,0.00,9.34,1.16,0.00,86365.0,0
"2020-03-11",2.15,0.00,13.90,1.71,0.01,61183.0,1
"2020-03-12",1.27,0.00,7.91,0.67,0.00,75578.0,0
"2020-03-13",0.95,0.00,5.49,0.36,0.00,86374.0,0
"2020-03-14",0.66,0.00,2.93,0.12,0.00,61181.0,1
"2020-03-15",0.69,0.00,3.98,0.16,0.00,67772.0,1
"2020-03-16",0.76,0.00,4.47,0.17,0.00,86029.0,0
"2020-03-17",0.73,0.00,7.74,0.21,0.00,86372.0,0
"2020-03-18",0.68,0.00,6.86,0.22,0.00,86366.0,0
"2020-03-19",1.12,0.00,7.32,0.70,0.00,86363.0,0
"2020-03-20",0.79,0.00,5.66,0.33,0.00,86369.0,0
"2020-03-21",0.95,0.00,6.42,0.39,0.00,86376.0,0
"2020-03-22",1.13,0.00,9.04,0.69,0.00,86374.0,0
"2020-03-23",1.21,0.00,9.59,0.91,0.00,86375.0,0
"2020-03-24",1.89,0.00,13.54,1.64,0.00,86372.0,0
"2020-03-25",1.32,0.00,10.92,1.12,0.00,86373.0,0
"2020-03-26",1.11,0.00,9.67,0.74,0.00,86376.0,0
"2020-03-27",0.91,0.00,6.02,0.28,0.00,86368.0,0
"2020-03-28",1.23,0.00,5.96,0.46,0.00,86375.0,0
"2020-03-29",1.25,0.00,8.36,0.79,0.00,86376.0,0
"2020-03-30",1.05,0.00,9.55,0.81,0.00,86372.0,0
"2020-03-31",1.40,0.00,8.62,0.93,0.00,82775.0,0
