date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2019-01-01",2.93,0.00,11.46,5.75,0.01,86348.0,0
"2019-01-02",4.24,0.00,14.82,6.03,0.01,86345.0,0
"2019-01-03",6.30,0.68,15.60,3.02,0.01,86346.0,0
"2019-01-04",10.97,1.96,21.29,6.30,0.01,86350.0,0
"2019-01-05",9.21,0.02,23.65,25.77,0.02,86329.0,0
"2019-01-06",9.19,0.03,30.22,34.84,0.02,86345.0,0
"2019-01-07",9.83,0.02,31.37,18.04,0.01,86220.0,0
"2019-01-08",13.27,0.03,29.49,27.12,0.02,86086.0,0
"2019-01-09",6.50,0.01,21.51,15.82,0.01,86356.0,0
"2019-01-10",8.72,0.01,22.50,20.89,0.02,86347.0,0
"2019-01-11",2.09,0.00,7.97,1.19,0.00,86348.0,0
"2019-01-12",2.51,0.02,7.95,1.69,0.00,83089.0,0
"2019-01-13",1.84,0.04,4.47,0.45,0.00,79159.0,0
"2019-01-14",4.32,0.00,14.22,10.32,0.01,86346.0,0
"2019-01-15",6.55,0.02,21.66,19.27,0.01,86350.0,0
"2019-01-16",8.17,0.00,26.37,31.67,0.02,71175.0,0
"2019-01-17",,,,-0.00,,0.0,1
"2019-01-18",,,,-0.00,,0.0,1
"2019-01-19",,,,-0.00,,0.0,1
"2019-01-20",,,,-0.00,,0.0,1
"2019-01-21",,,,-0.00,,0.0,1
"2019-01-22",,,,-0.00,,0.0,1
"2019-01-23",,,,-0.00,,0.0,1
"2019-01-24",,,,-0.00,,0.0,1
"2019-01-25",,,,-0.00,,0.0,1
"2019-01-26",,,,-0.00,,0.0,1
"2019-01-27",,,,-0.00,,0.0,1
"2019-01-28",,,,-0.00,,0.0,1
"2019-01-29",,,,-0.00,,0.0,1
"2019-01-30",,,,-0.00,,0.0,1
"2019-01-31",,,,-0.00,,0.0,1
