date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2019-11-01",2.99,0.88,5.38,0.37,0.00,86356.0,0
"2019-11-02",2.28,0.27,5.16,0.68,0.00,86372.0,0
"2019-11-03",4.68,0.15,8.90,2.08,0.00,86341.0,0
"2019-11-04",3.82,0.01,8.52,1.76,0.00,86366.0,0
"2019-11-05",2.62,0.02,5.40,0.93,0.00,86362.0,0
"2019-11-06",1.86,0.01,6.70,0.93,0.00,86363.0,0
"2019-11-07",1.65,0.01,4.84,0.82,0.00,85598.0,0
"2019-11-08",4.19,0.16,11.56,2.84,0.01,86304.0,0
"2019-11-09",6.17,2.21,12.38,1.53,0.00,86320.0,0
"2019-11-10",2.88,0.00,10.11,3.27,0.01,86376.0,0
"2019-11-11",1.67,0.00,4.89,0.88,0.00,86356.0,0
"2019-11-12",1.52,0.06,8.02,0.55,0.01,20616.0,1
"2019-11-13",,,,-0.00,,0.0,1
"2019-11-14",,,,-0.00,,0.0,1
"2019-11-15",,,,-0.00,,0.0,1
"2019-11-16",,,,-0.00,,0.0,1
"2019-11-17",,,,-0.00,,0.0,1
"2019-11-18",,,,-0.00,,0.0,1
"2019-11-19",,,,-0.00,,0.0,1
"2019-11-20",,,,-0.00,,0.0,1
"2019-11-21",,,,-0.00,,0.0,1
"2019-11-22",,,,-0.00,,0.0,1
"2019-11-23",,,,-0.00,,0.0,1
"2019-11-24",,,,-0.00,,0.0,1
"2019-11-25",,,,-0.00,,0.0,1
"2019-11-26",10.93,3.13,21.76,7.13,0.01,51570.0,1
"2019-11-27",8.78,2.55,21.90,6.24,0.01,86326.0,0
"2019-11-28",3.98,0.02,9.74,2.21,0.01,86164.0,0
"2019-11-29",3.07,0.08,8.86,2.49,0.01,86307.0,0
"2019-11-30",1.85,0.01,6.50,0.86,0.00,86371.0,0
