date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2019-04-01",1.56,0.00,7.89,0.84,0.00,86370.0,0
"2019-04-02",0.40,0.00,3.80,0.10,0.00,47697.0,1
"2019-04-03",,,,-0.00,,0.0,1
"2019-04-04",0.72,0.01,4.48,0.62,0.03,516.0,1
"2019-04-05",,,,-0.00,,0.0,1
"2019-04-06",1.05,0.00,6.82,0.55,0.00,26387.0,1
"2019-04-07",0.61,0.00,4.95,0.28,0.00,86371.0,0
"2019-04-08",1.16,0.00,8.55,0.79,0.00,81038.0,0
"2019-04-09",0.86,0.00,5.43,0.31,0.00,86371.0,0
"2019-04-10",0.83,0.00,5.98,0.38,0.00,86372.0,0
"2019-04-11",0.71,0.00,4.88,0.29,0.00,86372.0,0
"2019-04-12",0.63,0.00,4.24,0.32,0.00,86377.0,0
"2019-04-13",1.29,0.00,8.42,0.82,0.00,86371.0,0
"2019-04-14",0.65,0.00,4.82,0.25,0.00,86369.0,0
"2019-04-15",1.26,0.00,8.68,0.94,0.00,86371.0,0
"2019-04-16",1.98,0.01,8.73,1.16,0.00,50386.0,1
"2019-04-17",0.77,0.00,5.36,0.37,0.00,86377.0,0
"2019-04-18",0.93,0.00,6.35,0.51,0.00,86374.0,0
"2019-04-19",1.48,0.00,9.02,0.93,0.00,86376.0,0
"2019-04-20",1.66,0.00,8.57,0.93,0.00,86369.0,0
"2019-04-21",0.89,0.00,6.17,0.42,0.00,86372.0,0
"2019-04-22",0.85,0.00,5.89,0.56,0.00,86371.0,0
"2019-04-23",1.05,0.00,5.88,0.36,0.00,86380.0,0
"2019-04-24",1.21,0.00,6.87,0.83,0.00,86376.0,0
"2019-04-25",0.84,0.00,4.23,0.26,0.00,86374.0,0
"2019-04-26",1.31,0.00,9.18,1.12,0.00,86373.0,0
"2019-04-27",1.70,0.00,9.21,0.94,0.00,86378.0,0
"2019-04-28",0.96,0.00,6.32,0.41,0.00,86373.0,0
"2019-04-29",0.82,0.00,5.12,0.36,0.00,86374.0,0
"2019-04-30",0.64,0.00,4.66,0.20,0.00,86373.0,0
