date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2019-06-01",1.72,0.00,9.28,1.49,0.00,86373.0,0
"2019-06-02",1.44,0.00,7.85,1.02,0.00,86375.0,0
"2019-06-03",1.29,0.00,7.18,0.85,0.00,86361.0,0
"2019-06-04",1.19,0.00,6.99,0.65,0.00,77277.0,0
"2019-06-05",1.29,0.00,7.81,0.81,0.00,86376.0,0
"2019-06-06",1.06,0.00,6.08,0.58,0.00,86371.0,0
"2019-06-07",1.21,0.00,7.15,0.74,0.00,86375.0,0
"2019-06-08",1.47,0.00,8.91,0.98,0.00,86369.0,0
"2019-06-09",1.58,0.00,9.77,1.14,0.00,76686.0,0
"2019-06-10",1.87,0.00,9.85,1.63,0.00,86370.0,0
"2019-06-11",1.62,0.00,8.14,1.22,0.00,86372.0,0
"2019-06-12",1.53,0.00,9.83,1.67,0.00,86372.0,0
"2019-06-13",1.85,0.01,10.38,1.79,0.00,81214.0,0
"2019-06-14",1.73,0.00,10.83,1.75,0.00,86369.0,0
"2019-06-15",1.72,0.00,11.84,1.71,0.00,86367.0,0
"2019-06-16",1.74,0.01,9.90,1.73,0.00,86369.0,0
"2019-06-17",1.81,0.00,9.44,1.73,0.00,86374.0,0
"2019-06-18",1.71,0.00,11.54,1.86,0.00,86371.0,0
"2019-06-19",1.93,0.00,10.39,1.87,0.00,86371.0,0
"2019-06-20",2.05,0.01,11.53,2.00,0.00,86374.0,0
"2019-06-21",2.04,0.00,9.63,1.50,0.00,86370.0,0
"2019-06-22",1.50,0.00,8.34,1.14,0.00,86371.0,0
"2019-06-23",1.47,0.00,8.58,1.16,0.00,86375.0,0
"2019-06-24",1.41,0.00,9.60,1.22,0.00,86374.0,0
"2019-06-25",1.26,0.00,8.28,1.27,0.00,86362.0,0
"2019-06-26",1.40,0.00,8.56,0.91,0.00,86369.0,0
"2019-06-27",1.70,0.00,9.10,1.73,0.00,82893.0,0
"2019-06-28",2.18,0.01,10.24,2.26,0.01,86374.0,0
"2019-06-29",2.18,0.00,10.08,1.92,0.00,86371.0,0
"2019-06-30",1.71,0.00,10.51,1.76,0.00,86372.0,0
