date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2021-06-01",0.18,0.00,1.25,0.02,0.00,86367.0,0
"2021-06-02",0.17,0.00,2.23,0.01,0.00,86368.0,0
"2021-06-03",0.21,0.00,1.92,0.03,0.00,86369.0,0
"2021-06-04",0.19,0.00,1.09,0.02,0.00,86373.0,0
"2021-06-05",0.19,0.00,1.22,0.02,0.00,86372.0,0
"2021-06-06",0.15,0.00,1.15,0.01,0.00,86369.0,0
"2021-06-07",0.17,0.00,2.12,0.01,0.00,86257.0,0
"2021-06-08",0.21,0.00,2.93,0.02,0.00,86369.0,0
"2021-06-09",0.18,0.00,5.37,0.02,0.00,86360.0,0
"2021-06-10",0.22,0.00,2.42,0.02,0.00,86374.0,0
"2021-06-11",0.22,0.00,1.66,0.02,0.00,86370.0,0
"2021-06-12",0.19,0.00,4.28,0.02,0.00,86101.0,0
"2021-06-13",0.18,0.00,1.51,0.01,0.00,77463.0,0
"2021-06-14",0.17,0.00,1.51,0.01,0.00,80080.0,0
"2021-06-15",0.22,0.00,1.76,0.03,0.00,86373.0,0
"2021-06-16",0.16,0.00,1.39,0.01,0.00,86371.0,0
"2021-06-17",0.19,0.00,1.60,0.02,0.00,86375.0,0
"2021-06-18",0.18,0.00,1.78,0.02,0.00,86309.0,0
"2021-06-19",0.22,0.00,11.59,0.03,0.00,85980.0,0
"2021-06-20",0.19,0.00,1.28,0.02,0.00,86371.0,0
"2021-06-21",0.28,0.00,4.59,0.06,0.00,86253.0,0
"2021-06-22",0.19,0.00,3.55,0.02,0.00,86374.0,0
"2021-06-23",0.21,0.00,1.46,0.02,0.00,86370.0,0
"2021-06-24",0.19,0.00,1.69,0.02,0.00,86369.0,0
"2021-06-25",0.21,0.00,2.10,0.02,0.00,86368.0,0
"2021-06-26",0.22,0.00,1.59,0.02,0.00,86365.0,0
"2021-06-27",0.21,0.00,2.22,0.03,0.00,86377.0,0
"2021-06-28",0.16,0.00,1.31,0.01,0.00,86367.0,0
"2021-06-29",0.21,0.00,2.90,0.02,0.00,86370.0,0
"2021-06-30",0.16,0.00,1.69,0.02,0.00,85661.0,0
