date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2020-08-01",2.28,0.01,11.65,1.74,0.00,86375.0,0
"2020-08-02",2.76,0.00,17.38,4.78,0.01,86368.0,0
"2020-08-03",1.89,0.00,11.45,1.93,0.00,86375.0,0
"2020-08-04",1.96,0.00,9.37,1.48,0.00,86374.0,0
"2020-08-05",2.03,0.00,10.23,1.31,0.00,86370.0,0
"2020-08-06",2.12,0.01,9.82,1.30,0.00,86374.0,0
"2020-08-07",1.75,0.00,9.02,0.96,0.00,85475.0,0
"2020-08-08",1.92,0.00,23.14,1.25,0.00,86375.0,0
"2020-08-09",2.00,0.00,8.35,1.08,0.00,86381.0,0
"2020-08-10",2.06,0.00,8.85,1.11,0.00,86374.0,0
"2020-08-11",2.08,0.00,12.84,1.28,0.00,86369.0,0
"2020-08-12",2.10,0.00,12.27,1.96,0.00,86370.0,0
"2020-08-13",1.86,0.00,9.67,1.18,0.00,86370.0,0
"2020-08-14",2.27,0.02,10.24,1.41,0.00,86371.0,0
"2020-08-15",2.44,0.00,9.27,1.44,0.00,86370.0,0
"2020-08-16",2.35,0.01,21.58,3.71,0.01,86375.0,0
"2020-08-17",2.19,0.00,13.32,1.87,0.00,86372.0,0
"2020-08-18",2.76,0.01,12.77,2.92,0.01,86369.0,0
"2020-08-19",2.03,0.01,9.81,1.16,0.00,86377.0,0
"2020-08-20",2.02,0.00,13.13,1.40,0.00,86370.0,0
"2020-08-21",2.66,0.01,16.04,3.33,0.01,86373.0,0
"2020-08-22",1.95,0.00,8.32,1.37,0.00,86374.0,0
"2020-08-23",2.58,0.00,17.64,3.66,0.01,86370.0,0
"2020-08-24",1.77,0.00,10.05,1.29,0.00,86373.0,0
"2020-08-25",1.88,0.00,9.20,1.23,0.00,86372.0,0
"2020-08-26",1.95,0.00,7.29,0.97,0.00,86379.0,0
"2020-08-27",1.86,0.01,12.36,1.03,0.00,86372.0,0
"2020-08-28",1.97,0.00,11.99,1.50,0.00,86375.0,0
"2020-08-29",2.29,0.00,12.54,2.78,0.01,86373.0,0
"2020-08-30",1.63,0.00,9.30,1.10,0.00,86368.0,0
"2020-08-31",1.74,0.01,9.71,1.39,0.00,86375.0,0
