date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2016-04-01",2.56,0.00,11.75,3.23,0.01,86373.0,0
"2016-04-02",1.96,0.00,8.09,0.87,0.00,86378.0,0
"2016-04-03",1.89,0.00,6.98,0.93,0.00,86375.0,0
"2016-04-04",2.73,0.00,11.17,3.43,0.01,86372.0,0
"2016-04-05",2.78,0.01,15.60,2.20,0.01,77408.0,0
"2016-04-06",,,,-0.00,,0.0,1
"2016-04-07",,,,-0.00,,0.0,1
"2016-04-08",4.57,0.13,11.21,2.38,0.01,24362.0,1
"2016-04-09",3.80,0.00,12.78,4.15,0.01,86378.0,0
"2016-04-10",2.44,0.01,9.05,1.74,0.00,86377.0,0
"2016-04-11",1.85,0.00,7.20,0.77,0.00,86360.0,0
"2016-04-12",2.18,0.00,7.96,1.24,0.00,86377.0,0
"2016-04-13",2.18,0.01,9.49,1.61,0.00,86379.0,0
"2016-04-14",3.20,0.02,15.74,4.36,0.01,86365.0,0
"2016-04-15",3.11,0.00,18.79,6.43,0.01,86375.0,0
"2016-04-16",4.76,0.73,15.01,4.52,0.01,86375.0,0
"2016-04-17",3.15,0.27,15.35,3.72,0.01,86380.0,0
"2016-04-18",2.11,0.00,12.68,1.96,0.00,86371.0,0
"2016-04-19",2.06,0.00,16.43,0.96,0.00,79831.0,0
"2016-04-20",2.28,0.01,10.90,1.44,0.00,86373.0,0
"2016-04-21",2.44,0.00,10.09,1.83,0.00,86368.0,0
"2016-04-22",4.23,0.00,18.78,11.86,0.01,86383.0,0
"2016-04-23",6.18,0.08,18.12,5.64,0.01,86375.0,0
"2016-04-24",2.49,0.00,8.94,1.83,0.00,86369.0,0
"2016-04-25",2.45,0.00,17.93,3.20,0.01,86374.0,0
"2016-04-26",2.15,0.00,11.50,2.16,0.01,86379.0,0
"2016-04-27",2.50,0.00,12.33,3.29,0.01,86378.0,0
"2016-04-28",2.41,0.01,12.61,4.00,0.01,86368.0,0
"2016-04-29",2.34,0.01,9.40,2.24,0.01,86381.0,0
"2016-04-30",2.91,0.00,13.34,4.35,0.01,86374.0,0
