date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2019-12-01",0.44,0.00,3.13,0.10,0.00,86352.0,0
"2019-12-02",0.27,0.00,1.48,0.03,0.00,86350.0,0
"2019-12-03",0.48,0.00,2.12,0.09,0.00,86344.0,0
"2019-12-04",0.62,0.00,2.36,0.12,0.00,86335.0,0
"2019-12-05",0.74,0.00,5.68,0.29,0.00,86352.0,0
"2019-12-06",1.59,0.00,11.00,2.30,0.01,85974.0,0
"2019-12-07",0.59,0.00,3.91,0.20,0.00,86356.0,0
"2019-12-08",0.83,0.00,4.89,0.26,0.00,86336.0,0
"2019-12-09",0.85,0.00,6.31,0.33,0.00,86347.0,0
"2019-12-10",0.88,0.00,3.57,0.27,0.00,86352.0,0
"2019-12-11",0.60,0.00,3.03,0.14,0.00,86332.0,0
"2019-12-12",1.08,0.00,5.04,0.32,0.00,86356.0,0
"2019-12-13",1.06,0.00,7.65,0.36,0.00,86346.0,0
"2019-12-14",0.77,0.00,2.84,0.16,0.00,86352.0,0
"2019-12-15",0.79,0.00,3.26,0.20,0.00,86348.0,0
"2019-12-16",0.45,0.00,1.99,0.07,0.00,86338.0,0
"2019-12-17",0.41,0.00,2.31,0.07,0.00,86255.0,0
"2019-12-18",0.89,0.00,7.33,0.34,0.00,86352.0,0
"2019-12-19",0.82,0.00,3.28,0.23,0.00,86341.0,0
"2019-12-20",2.79,0.00,16.17,4.82,0.01,65318.0,1
"2019-12-21",5.24,0.00,17.99,9.60,0.02,31449.0,1
"2019-12-22",2.13,0.00,14.39,3.18,0.01,78447.0,0
"2019-12-23",1.64,0.00,15.78,2.57,0.01,76715.0,0
"2019-12-24",0.49,0.00,2.19,0.10,0.00,86342.0,0
"2019-12-25",0.47,0.00,2.24,0.09,0.00,86345.0,0
"2019-12-26",0.48,0.00,1.95,0.08,0.00,52303.0,1
"2019-12-27",,,,-0.00,,0.0,1
"2019-12-28",2.50,0.00,20.64,2.49,0.01,72050.0,1
"2019-12-29",1.37,0.00,8.21,0.72,0.00,86351.0,0
"2019-12-30",0.56,0.00,2.43,0.14,0.00,86335.0,0
"2019-12-31",0.51,0.00,2.68,0.09,0.00,86347.0,0
