date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2019-01-01",3.85,0.28,11.52,2.48,0.01,86381.0,0
"2019-01-02",2.76,0.02,7.80,1.08,0.00,86375.0,0
"2019-01-03",2.43,0.03,8.21,0.93,0.00,78100.0,0
"2019-01-04",2.97,0.02,10.05,1.57,0.00,83004.0,0
"2019-01-05",1.21,0.00,6.68,0.94,0.00,86376.0,0
"2019-01-06",2.82,0.03,13.75,2.97,0.01,86376.0,0
"2019-01-07",3.38,0.02,13.10,2.19,0.01,86370.0,0
"2019-01-08",3.10,0.06,13.06,2.73,0.01,86375.0,0
"2019-01-09",2.09,0.00,7.41,0.89,0.00,86372.0,0
"2019-01-10",1.83,0.00,8.72,2.05,0.00,86377.0,0
"2019-01-11",2.98,0.04,10.51,1.58,0.00,86374.0,0
"2019-01-12",4.34,0.08,14.64,3.62,0.01,86364.0,0
"2019-01-13",3.43,0.01,9.94,1.79,0.00,86375.0,0
"2019-01-14",1.62,0.00,6.00,0.76,0.00,74885.0,0
"2019-01-15",1.55,0.02,7.16,0.88,0.00,79293.0,0
"2019-01-16",2.71,0.03,11.30,2.31,0.01,86363.0,0
"2019-01-17",3.48,0.01,10.96,2.16,0.00,86374.0,0
"2019-01-18",2.05,0.00,10.55,2.48,0.01,77422.0,0
"2019-01-19",6.49,0.18,20.25,8.05,0.01,80412.0,0
"2019-01-20",2.21,0.01,9.04,1.54,0.00,86371.0,0
"2019-01-21",3.69,0.09,17.75,6.94,0.01,86369.0,0
"2019-01-22",4.72,0.03,16.19,5.43,0.01,86376.0,0
"2019-01-23",5.12,0.14,17.08,5.07,0.01,86374.0,0
"2019-01-24",1.39,0.00,8.07,1.05,0.00,86372.0,0
"2019-01-25",1.73,0.00,8.33,1.39,0.00,86374.0,0
"2019-01-26",1.26,0.00,5.57,0.63,0.00,86372.0,0
"2019-01-27",1.75,0.01,7.93,1.03,0.00,86374.0,0
"2019-01-28",3.28,0.01,17.21,6.10,0.01,86369.0,0
"2019-01-29",2.60,0.00,14.69,3.96,0.01,86374.0,0
"2019-01-30",1.85,0.00,9.10,2.26,0.01,86374.0,0
"2019-01-31",2.45,0.06,10.77,2.11,0.01,82401.0,0
