date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2019-10-01",2.64,0.01,12.30,2.69,0.01,86374.0,0
"2019-10-02",2.38,0.02,11.83,2.28,0.01,86381.0,0
"2019-10-03",1.94,0.01,9.30,1.54,0.00,86378.0,0
"2019-10-04",1.62,0.00,7.06,0.86,0.00,86375.0,0
"2019-10-05",2.28,0.00,11.31,2.56,0.01,86379.0,0
"2019-10-06",2.97,0.04,11.10,2.44,0.01,86373.0,0
"2019-10-07",2.29,0.00,9.43,1.26,0.00,86382.0,0
"2019-10-08",2.36,0.01,9.97,1.22,0.00,86374.0,0
"2019-10-09",2.78,0.16,11.32,2.43,0.01,86379.0,0
"2019-10-10",3.06,0.03,11.74,2.70,0.01,86368.0,0
"2019-10-11",2.60,0.01,9.87,1.25,0.00,86294.0,0
"2019-10-12",1.67,0.02,6.57,0.57,0.00,86380.0,0
"2019-10-13",1.43,0.00,4.94,0.52,0.00,86378.0,0
"2019-10-14",1.42,0.00,6.05,0.72,0.00,86371.0,0
"2019-10-15",1.79,0.00,7.12,1.02,0.00,86378.0,0
"2019-10-16",2.86,0.01,13.97,2.41,0.01,86378.0,0
"2019-10-17",1.85,0.01,7.67,0.88,0.00,86370.0,0
"2019-10-18",1.31,0.00,4.77,0.43,0.00,86369.0,0
"2019-10-19",3.25,0.01,11.46,2.19,0.01,86373.0,0
"2019-10-20",2.82,0.02,9.93,2.20,0.01,86377.0,0
"2019-10-21",1.47,0.00,6.06,0.55,0.00,86372.0,0
"2019-10-22",2.41,0.00,13.51,2.57,0.01,86374.0,0
"2019-10-23",2.48,0.01,8.72,1.52,0.00,86375.0,0
"2019-10-24",2.42,0.01,8.71,1.23,0.00,86376.0,0
"2019-10-25",2.57,0.01,10.74,2.11,0.00,86366.0,0
"2019-10-26",2.79,0.02,12.31,2.38,0.01,86379.0,0
"2019-10-27",2.20,0.05,7.98,1.14,0.00,86376.0,0
"2019-10-28",1.06,0.01,4.44,0.33,0.00,86281.0,0
"2019-10-29",1.42,0.00,5.71,0.67,0.00,86366.0,0
"2019-10-30",1.64,0.00,6.45,0.84,0.00,86375.0,0
"2019-10-31",2.33,0.02,10.75,1.97,0.00,86380.0,0
