date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2019-05-01",2.46,0.00,7.85,1.98,0.00,86375.0,0
"2019-05-02",3.02,0.00,8.95,1.67,0.00,86374.0,0
"2019-05-03",2.93,0.00,7.51,1.65,0.00,86371.0,0
"2019-05-04",3.30,0.03,8.26,1.96,0.00,86372.0,0
"2019-05-05",2.97,0.01,9.57,1.67,0.00,86369.0,0
"2019-05-06",2.13,0.00,8.97,2.10,0.00,86373.0,0
"2019-05-07",1.99,0.00,9.91,1.83,0.00,86370.0,0
"2019-05-08",2.26,0.01,8.50,1.45,0.00,86371.0,0
"2019-05-09",2.34,0.00,7.80,1.23,0.00,86372.0,0
"2019-05-10",3.11,0.00,18.45,4.64,0.01,86373.0,0
"2019-05-11",2.29,0.00,7.37,1.19,0.00,86372.0,0
"2019-05-12",2.92,0.01,10.34,1.54,0.00,86371.0,0
"2019-05-13",2.38,0.00,9.79,1.84,0.00,86368.0,0
"2019-05-14",2.87,0.00,8.55,1.75,0.00,86372.0,0
"2019-05-15",2.24,0.00,9.07,2.20,0.01,86362.0,0
"2019-05-16",2.81,0.00,12.89,2.15,0.00,86370.0,0
"2019-05-17",2.70,0.01,9.32,1.93,0.00,86376.0,0
"2019-05-18",2.97,0.01,9.10,1.93,0.00,86375.0,0
"2019-05-19",2.85,0.00,14.76,2.95,0.01,86371.0,0
"2019-05-20",2.31,0.00,7.98,1.16,0.00,82293.0,0
"2019-05-21",2.61,0.00,13.20,2.70,0.01,86367.0,0
"2019-05-22",2.42,0.00,8.77,1.78,0.00,86373.0,0
"2019-05-23",2.13,0.00,7.07,1.42,0.00,86373.0,0
"2019-05-24",1.74,0.00,7.11,1.17,0.00,86374.0,0
"2019-05-25",3.11,0.03,9.25,1.44,0.00,86375.0,0
"2019-05-26",2.57,0.00,10.66,2.51,0.01,86374.0,0
"2019-05-27",1.82,0.00,8.20,1.12,0.00,86369.0,0
"2019-05-28",1.06,0.00,4.14,0.32,0.00,86372.0,0
"2019-05-29",2.18,0.00,7.43,0.89,0.00,86371.0,0
"2019-05-30",3.02,0.01,7.51,1.73,0.00,86290.0,0
"2019-05-31",2.80,0.01,8.60,1.75,0.00,86377.0,0
