date,wssWindSpeedMean,wssWindSpeedMinimum,wssWindSpeedMaximum,wssWindSpeedVariance,wssWindSpeedStdErMean,wssWindSpeedNumPts,windSpeedQF
"2019-02-01",0.55,0.00,4.41,0.20,0.00,86368.0,0
"2019-02-02",0.62,0.00,3.65,0.17,0.00,86380.0,0
"2019-02-03",0.96,0.00,5.36,0.48,0.00,82774.0,0
"2019-02-04",0.81,0.00,5.73,0.56,0.00,86363.0,0
"2019-02-05",1.32,0.00,7.75,0.91,0.00,86369.0,0
"2019-02-06",0.81,0.00,5.95,0.40,0.00,86372.0,0
"2019-02-07",0.93,0.00,4.97,0.58,0.00,86375.0,0
"2019-02-08",0.65,0.00,3.47,0.26,0.00,86373.0,0
"2019-02-09",1.83,0.00,8.98,1.25,0.00,86369.0,0
"2019-02-10",1.24,0.00,7.02,1.06,0.00,84177.0,0
"2019-02-11",1.20,0.00,14.58,1.31,0.00,86284.0,0
"2019-02-12",1.68,0.00,6.99,1.03,0.00,48515.0,1
"2019-02-13",0.60,0.00,3.21,0.28,0.00,35550.0,1
"2019-02-14",2.51,0.00,10.99,2.47,0.01,86367.0,0
"2019-02-15",0.57,0.00,5.41,0.18,0.00,86381.0,0
"2019-02-16",0.54,0.00,3.21,0.13,0.00,86373.0,0
"2019-02-17",0.57,0.00,5.25,0.16,0.00,86227.0,0
"2019-02-18",0.98,0.00,7.05,0.78,0.00,86370.0,0
"2019-02-19",0.96,0.00,7.77,0.65,0.00,86374.0,0
"2019-02-20",0.95,0.00,5.53,0.53,0.00,86375.0,0
"2019-02-21",0.71,0.00,4.09,0.34,0.00,86376.0,0
"2019-02-22",0.84,0.00,8.82,0.38,0.00,86384.0,0
"2019-02-23",0.59,0.00,3.69,0.17,0.00,86374.0,0
"2019-02-24",0.87,0.00,4.36,0.35,0.00,86289.0,0
"2019-02-25",2.07,0.00,7.24,1.02,0.00,86380.0,0
"2019-02-26",1.73,0.00,15.02,4.26,0.01,86376.0,0
"2019-02-27",3.23,0.00,12.70,3.28,0.01,86373.0,0
"2019-02-28",0.60,0.00,3.89,0.21,0.00,86364.0,0
